id_manual,comentario,empresa,sede,rubro,estrellas,sentimiento_estrella,fecha_resena,url,comentario_limpio,texto_modelo,longitud_caracteres,cantidad_palabras,comentario_corto,sin_contenido_alfabetico,duplicado_global,duplicado_empresa_sede,estrellas_validas,sentimiento_esperado,sentimiento_consistente,requiere_revision,motivo_revision,etiqueta_manual,observacion_manual
11,"Pésima atención, la música de fondo es Reguetón, los vendedores conversando entre ellos y lo peor de todo TE DAN LA ROPA QUE COMPRAS EN LA MANO!! SI QUIERES BOLSA SON 0.30centavos? PÉSIMA ATENCIÓN CON RAZÓN ESTA VACÍO EL LOCAL. MALASO PÉSIMA EXPERIENCIA!! NO LO RECOMIENDO.",Ripley,Miraflores,Retail,1,muy negativo,Fecha de edición: Hace 4 años,"https://www.google.com/maps/place/Ripley+Miraflores/@-12.1230752,-77.0404893,15z/data=!4m8!3m7!1s0x9105c8191c65706b:0xe588d29fabe35574!8m2!3d-12.1230964!4d-77.0301895!9m1!1b1!16s%2Fg%2F11r8v2c0z?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Pésima atención, la música de fondo es Reguetón, los vendedores conversando entre ellos y lo peor de todo TE DAN LA ROPA QUE COMPRAS EN LA MANO!! SI QUIERES BOLSA SON 0.30centavos? PÉSIMA ATENCIÓN CON RAZÓN ESTA VACÍO EL LOCAL. MALASO PÉSIMA EXPERIENCIA!! NO LO RECOMIENDO.",pésima atención la música de fondo es reguetón los vendedores conversando entre ellos y lo peor de todo te dan la ropa que compras en la mano si quieres bolsa son 0 30centavos pésima atención con razón esta vacío el local malaso pésima experiencia no lo recomiendo,273,47,False,False,False,False,True,muy negativo,True,False,,,
12,"Siempre voy a reclamar atención por mi celular que a veces tengo algún problemita,pero siempre he encontrado bue trato del personal que me ha atendido,por ahí no falta un malcriado pésimo en atención al cliente cuando te preguntan cual es el motivo por el cual vas ojo hay que poner chicos con ganas de laborar y no relajados que dejan mal a la empresa.",Movistar,San Isidro,Telecomunicaciones,4,positivo,Hace 6 años,"https://www.google.com/maps/place/Movistar+-+Centro+de+Atenci%C3%B3n+y+Venta+San+Isidro+-+Juan+de+Arona/@-12.0964878,-77.0379758,15z/data=!3m1!5s0x9105c86f55516a2b:0xb4bdd97027c54e51!4m8!3m7!1s0x9105c86f5551a06f:0x8a1f64392d6a1f9f!8m2!3d-12.096509!4d-77.027676!9m1!1b1!16s%2Fg%2F11bc95wrd7?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Siempre voy a reclamar atención por mi celular que a veces tengo algún problemita,pero siempre he encontrado bue trato del personal que me ha atendido,por ahí no falta un malcriado pésimo en atención al cliente cuando te preguntan cual es el motivo por el cual vas ojo hay que poner chicos con ganas de laborar y no relajados que dejan mal a la empresa.",siempre voy a reclamar atención por mi celular que a veces tengo algún problemita pero siempre he encontrado bue trato del personal que me ha atendido por ahí no falta un malcriado pésimo en atención al cliente cuando te preguntan cual es el motivo por el cual vas ojo hay que poner chicos con ganas de laborar y no relajados que dejan mal a la empresa,353,66,False,False,False,False,True,positivo,True,False,,,
13,"Pésima atención por parte de la señorita de ventanilla y proporciona mal información, poco interés de orientación y solución",Scotiabank,San Isidro,Banca,1,muy negativo,Hace un año,"https://www.google.com/maps/place/Scotiabank/@-12.0978772,-77.1197113,12z/data=!4m12!1m2!2m1!1sscotiabank+san+isidro!3m8!1s0x9105c87042dfe5af:0xeaeba6ad127ae4c2!8m2!3d-12.0972448!4d-77.0234335!9m1!1b1!15sChVzY290aWFiYW5rIHNhbiBpc2lkcm8iA4gBAZIBBGJhbmvgAQA!16s%2Fg%2F11c37q6hwm?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Pésima atención por parte de la señorita de ventanilla y proporciona mal información, poco interés de orientación y solución",pésima atención por parte de la señorita de ventanilla y proporciona mal información poco interés de orientación y solución,124,19,False,False,False,False,True,muy negativo,True,False,,,
14,"Respécto a la atención en servicio técnico, es deficiente y no dan un diagnóstico cierto.",Claro,Plaza Norte,Telecomunicaciones,2,negativo,Hace 7 años,"https://www.google.com/maps/place/Claro+-+Plaza+Norte/@-12.0696528,-77.1716353,12z/data=!4m12!1m2!2m1!1sclaro+los+olivos!3m8!1s0x9105cefcfd8c6d8b:0x6ff66af64c01e943!8m2!3d-12.006859!4d-77.0599056!9m1!1b1!15sChBjbGFybyBsb3Mgb2xpdm9zIgOIAQFaEiIQY2xhcm8gbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11xxm9n4g?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Respécto a la atención en servicio técnico, es deficiente y no dan un diagnóstico cierto.",respécto a la atención en servicio técnico es deficiente y no dan un diagnóstico cierto,89,15,False,False,False,False,True,negativo,True,False,,,
15,Pésima atención,BBVA,San Isidro,Banca,1,muy negativo,Hace 4 meses,"https://www.google.com/maps/place/BBVA+San+Isidro/@-12.0989572,-77.1197103,12z/data=!4m12!1m2!2m1!1sbbva+san+isidro!3m8!1s0x9105c8f55f4010bb:0x5808600f510cfb91!8m2!3d-12.0939282!4d-77.0211518!9m1!1b1!15sCg9iYnZhIHNhbiBpc2lkcm-SAQRiYW5r4AEA!16s%2Fg%2F1226g4gx?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Pésima atención,pésima atención,15,2,True,False,True,False,True,muy negativo,True,True,comentario_corto;comentario_repetido_en_dataset,,
16,De que vale comprar en línea si tienes que esperar como si tuvieras cola en una caja normal,Metro,San Miguel,Retail,1,muy negativo,Hace 2 años,"https://www.google.com/maps/place/Metro+La+Marina/@-12.0891802,-77.3715373,10z/data=!4m12!1m2!2m1!1smetro+san+miguel!3m8!1s0x9105c97023499e85:0xcdd5aa58f24e5e51!8m2!3d-12.0766255!4d-77.0891354!9m1!1b1!15sChBtZXRybyBzYW4gbWlndWVsWhIiEG1ldHJvIHNhbiBtaWd1ZWySAQtzdXBlcm1hcmtldJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VObE5UVXlObk5uUlJBQuABAPoBBAgAEEE!16s%2Fg%2F12vqp1m59?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",De que vale comprar en línea si tienes que esperar como si tuvieras cola en una caja normal,de que vale comprar en línea si tienes que esperar como si tuvieras cola en una caja normal,91,18,False,False,False,False,True,muy negativo,True,False,,,
17,"No recomendable para compras rápidas. Entré a comprar bebidas energizantes y no habían heladas, a excepción de unas Red Bull, fui a ""caja rápida"" y avanzaba mas lento que las otras cajas ya que solo habían 2 disponibles, luego fui a la caja de la cafetería y no estaba disponible, no me quedó otra que dejar los productos. Fui el día sábado 2 de junio al medio día.",Metro,Breña,Retail,2,negativo,Hace 9 años,"https://www.google.com/maps/place/Metro+Bre%C3%B1a/@-12.053956,-77.0534221,15z/data=!4m8!3m7!1s0x9105c8c53e4b0cb1:0x35d73616c6af137!8m2!3d-12.0539772!4d-77.0431223!9m1!1b1!16s%2Fg%2F11h1cmj1r?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","No recomendable para compras rápidas. Entré a comprar bebidas energizantes y no habían heladas, a excepción de unas Red Bull, fui a ""caja rápida"" y avanzaba mas lento que las otras cajas ya que solo habían 2 disponibles, luego fui a la caja de la cafetería y no estaba disponible, no me quedó otra que dejar los productos. Fui el día sábado 2 de junio al medio día.",no recomendable para compras rápidas entré a comprar bebidas energizantes y no habían heladas a excepción de unas red bull fui a caja rápida y avanzaba mas lento que las otras cajas ya que solo habían 2 disponibles luego fui a la caja de la cafetería y no estaba disponible no me quedó otra que dejar los productos fui el día sábado 2 de junio al medio día,365,68,False,False,False,False,True,negativo,True,False,,,
18,"Limpio, elegante y súper organizado",Wong,La Molina,Retail,5,muy positivo,Hace 5 meses,"https://www.google.com/maps/place/Wong+La+Molina/@-12.0909119,-77.371532,10z/data=!4m12!1m2!2m1!1swong+la+molina!3m8!1s0x9105c71a9112c9a1:0xf1ccb920f195bc5b!8m2!3d-12.0919991!4d-76.9514207!9m1!1b1!15sCg53b25nIGxhIG1vbGluYSIDiAEBWhAiDndvbmcgbGEgbW9saW5hkgELc3VwZXJtYXJrZXSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRTYkdSdVdYUlJWa1p5Vld4UmQxTkZNVE5VUjJSeVRsaG9UMUpWUlJBQuABAPoBBAgAECE!16s%2Fg%2F1tm8g106?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Limpio, elegante y súper organizado",limpio elegante y súper organizado,35,5,False,False,False,False,True,muy positivo,True,False,,,
19,"Mal, me indican por teléfono que puedo ir a recoger un equipo a plaza norte con un código para no hacer cola y MENTIRA una cola inmensa y no me dejaron pasar.... horrible",Claro,Plaza Norte,Telecomunicaciones,1,muy negativo,Hace 4 años,"https://www.google.com/maps/place/Claro+-+Plaza+Norte/@-12.0696528,-77.1716353,12z/data=!4m12!1m2!2m1!1sclaro+los+olivos!3m8!1s0x9105cefcfd8c6d8b:0x6ff66af64c01e943!8m2!3d-12.006859!4d-77.0599056!9m1!1b1!15sChBjbGFybyBsb3Mgb2xpdm9zIgOIAQFaEiIQY2xhcm8gbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11xxm9n4g?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Mal, me indican por teléfono que puedo ir a recoger un equipo a plaza norte con un código para no hacer cola y MENTIRA una cola inmensa y no me dejaron pasar.... horrible",mal me indican por teléfono que puedo ir a recoger un equipo a plaza norte con un código para no hacer cola y mentira una cola inmensa y no me dejaron pasar horrible,170,33,False,False,False,False,True,muy negativo,True,False,,,
20,Exceso de cola para atención de clientes tercera edad. Demora la atención de por lo menos 45 minutos. Local amplio con los protocolos de salud,Movistar,San Miguel,Telecomunicaciones,5,muy positivo,Hace 4 años,"https://www.google.com/maps/place/Movistar/@-12.073177,-77.1385327,13z/data=!4m12!1m2!2m1!1smovistar+san+miguel!3m8!1s0x9105c96d80ef1e1b:0x2b9a36f3b3ce141b!8m2!3d-12.0763796!4d-77.0825337!9m1!1b1!15sChNtb3Zpc3RhciBzYW4gbWlndWVsIgOIAQFaFSITbW92aXN0YXIgc2FuIG1pZ3VlbJIBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11xrdtwpz?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Exceso de cola para atención de clientes tercera edad. Demora la atención de por lo menos 45 minutos. Local amplio con los protocolos de salud,exceso de cola para atención de clientes tercera edad demora la atención de por lo menos 45 minutos local amplio con los protocolos de salud,142,25,False,False,False,False,True,muy positivo,True,False,,,
21,Tienes mil cosas si pudiera me compraría todo de buena calidad amo wong,Wong,La Molina,Retail,5,muy positivo,Hace un año,"https://www.google.com/maps/place/Wong+La+Molina/@-12.0909119,-77.371532,10z/data=!4m12!1m2!2m1!1swong+la+molina!3m8!1s0x9105c71a9112c9a1:0xf1ccb920f195bc5b!8m2!3d-12.0919991!4d-76.9514207!9m1!1b1!15sCg53b25nIGxhIG1vbGluYSIDiAEBWhAiDndvbmcgbGEgbW9saW5hkgELc3VwZXJtYXJrZXSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRTYkdSdVdYUlJWa1p5Vld4UmQxTkZNVE5VUjJSeVRsaG9UMUpWUlJBQuABAPoBBAgAECE!16s%2Fg%2F1tm8g106?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Tienes mil cosas si pudiera me compraría todo de buena calidad amo wong,tienes mil cosas si pudiera me compraría todo de buena calidad amo wong,71,13,False,False,False,False,True,muy positivo,True,False,,,
22,"Extensa variedad y calidad para todos los gustos no solo culinarios. Productos para consumo de todos los miembros del hogar, también higiene personal, limpieza, licores, comidas y mucho por conocer realmente. Vale visitarlo.",Plaza Vea,San Borja,Retail,4,positivo,Hace 10 meses,"https://www.google.com/maps/place/plazaVea+San+Borja/@-12.089825,-77.0068138,17z/data=!4m8!3m7!1s0x9105c7d406b76bc3:0x8a10b6f285a697a1!8m2!3d-12.0898303!4d-77.0042389!9m1!1b1!16s%2Fg%2F1tffqdk9?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Extensa variedad y calidad para todos los gustos no solo culinarios. Productos para consumo de todos los miembros del hogar, también higiene personal, limpieza, licores, comidas y mucho por conocer realmente. Vale visitarlo.",extensa variedad y calidad para todos los gustos no solo culinarios productos para consumo de todos los miembros del hogar también higiene personal limpieza licores comidas y mucho por conocer realmente vale visitarlo,224,33,False,False,False,False,True,positivo,True,False,,,
23,"Supermercado muy grande, amplio y con estacionamiento. Puede comprar artículos para el hogar, alimentos e insumos muy variados. Tambiem hay Panaderia postres y articuloscñ eléctricos . Puede encontrar cajeros automáticos. Buen servicio y las personas que atienden pueden orientarlo muy bien",Tottus,Jockey Plaza,Retail,5,muy positivo,Hace 6 años,"https://www.google.com/maps/place/Tottus+Jockey+Plaza/@-12.0852978,-76.9891988,15z/data=!3m1!5s0x9105c7b3a8d76aa9:0xc6d50a7cd5ae2fea!4m8!3m7!1s0x9105c7b3024900c7:0x1999107f53756036!8m2!3d-12.085319!4d-76.978899!9m1!1b1!16s%2Fg%2F11bzrfl12g?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Supermercado muy grande, amplio y con estacionamiento. Puede comprar artículos para el hogar, alimentos e insumos muy variados. Tambiem hay Panaderia postres y articuloscñ eléctricos . Puede encontrar cajeros automáticos. Buen servicio y las personas que atienden pueden orientarlo muy bien",supermercado muy grande amplio y con estacionamiento puede comprar artículos para el hogar alimentos e insumos muy variados tambiem hay panaderia postres y articuloscñ eléctricos puede encontrar cajeros automáticos buen servicio y las personas que atienden pueden orientarlo muy bien,290,40,False,False,False,False,True,muy positivo,True,False,,,
24,"Este Saga es amplio. Tiene bastante variedad, me parece que giene más que otras tiendas. Tiene estacionamiento amplio. Durante los días de semana hay una afluencia de gente tranquila, los fines de semana es más tranquilo, he podido ir varios fines de semana y no ha habido mucha gente. Ayuda a que uno pueda hacer las compras tranquilo.",Falabella,San Isidro,Retail,5,muy positivo,Hace 8 años,"https://www.google.com/maps/place/Falabella+San+Isidro/@-12.095059,-77.0353392,15z/data=!3m1!5s0x9105c8659f44c175:0xad6aabac9e79ccf4!4m8!3m7!1s0x9105c8659f618827:0xeb62a6d2d04ae434!8m2!3d-12.0950802!4d-77.0250394!9m1!1b1!16s%2Fg%2F12vr6lfkt?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Este Saga es amplio. Tiene bastante variedad, me parece que giene más que otras tiendas. Tiene estacionamiento amplio. Durante los días de semana hay una afluencia de gente tranquila, los fines de semana es más tranquilo, he podido ir varios fines de semana y no ha habido mucha gente. Ayuda a que uno pueda hacer las compras tranquilo.",este saga es amplio tiene bastante variedad me parece que giene más que otras tiendas tiene estacionamiento amplio durante los días de semana hay una afluencia de gente tranquila los fines de semana es más tranquilo he podido ir varios fines de semana y no ha habido mucha gente ayuda a que uno pueda hacer las compras tranquilo,336,58,False,False,False,False,True,muy positivo,True,False,,,
25,De los pocos centros comerciales que no cobran estacionamiento. Muy bueno 😊…,Ripley,San Miguel,Retail,5,muy positivo,Hace 10 meses,"https://www.google.com/maps/place/Ripley+Plaza+San+Miguel/@-12.0774696,-77.0929724,15z/data=!4m8!3m7!1s0x9105c96d3859bb15:0xb58d1362f3ff5e0e!8m2!3d-12.0774908!4d-77.0826726!9m1!1b1!16s%2Fg%2F1tkkvyrf?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",De los pocos centros comerciales que no cobran estacionamiento. Muy bueno 😊…,de los pocos centros comerciales que no cobran estacionamiento muy bueno,76,11,False,False,False,False,True,muy positivo,True,False,,,
26,"No hay probadores para niños, es muy difícil probarlea la ropa y el aire condicionado no funciona",Falabella,San Isidro,Retail,2,negativo,Fecha de edición: Hace un año,"https://www.google.com/maps/place/Falabella+San+Isidro/@-12.095059,-77.0353392,15z/data=!3m1!5s0x9105c8659f44c175:0xad6aabac9e79ccf4!4m8!3m7!1s0x9105c8659f618827:0xeb62a6d2d04ae434!8m2!3d-12.0950802!4d-77.0250394!9m1!1b1!16s%2Fg%2F12vr6lfkt?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","No hay probadores para niños, es muy difícil probarlea la ropa y el aire condicionado no funciona",no hay probadores para niños es muy difícil probarlea la ropa y el aire condicionado no funciona,97,17,False,False,False,False,True,negativo,True,False,,,
27,Tienda por departamentos bastante surtida y muy buena atención.,Falabella,San Isidro,Retail,5,muy positivo,Hace 7 años,"https://www.google.com/maps/place/Falabella+San+Isidro/@-12.095059,-77.0353392,15z/data=!3m1!5s0x9105c8659f44c175:0xad6aabac9e79ccf4!4m8!3m7!1s0x9105c8659f618827:0xeb62a6d2d04ae434!8m2!3d-12.0950802!4d-77.0250394!9m1!1b1!16s%2Fg%2F12vr6lfkt?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Tienda por departamentos bastante surtida y muy buena atención.,tienda por departamentos bastante surtida y muy buena atención,63,9,False,False,False,False,True,muy positivo,True,False,,,
