comentario,empresa,sede,rubro,estrellas,sentimiento_estrella,fecha_resena,url,comentario_limpio,texto_modelo,longitud_caracteres,cantidad_palabras,comentario_corto,sin_contenido_alfabetico,duplicado_global,duplicado_empresa_sede,estrellas_validas,sentimiento_esperado,sentimiento_consistente,requiere_revision,motivo_revision
"EXCELENTE ATENCIÓN, LOS VENDEDORES SON MUY AMABLES. ADEMÁS, LOS EQUIPOS ESTÁN EN EXHIBICIÓN, PUEDES MANIPULARLOS Y ASÍ ELEGIR MEJOR, EL LOCAL ES AMPLIO Y BONITO.",Claro,Plaza Norte,Telecomunicaciones,5,muy positivo,Hace 8 años,"https://www.google.com/maps/place/Claro+-+Plaza+Norte/@-12.0696528,-77.1716353,12z/data=!4m12!1m2!2m1!1sclaro+los+olivos!3m8!1s0x9105cefcfd8c6d8b:0x6ff66af64c01e943!8m2!3d-12.006859!4d-77.0599056!9m1!1b1!15sChBjbGFybyBsb3Mgb2xpdm9zIgOIAQFaEiIQY2xhcm8gbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11xxm9n4g?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","EXCELENTE ATENCIÓN, LOS VENDEDORES SON MUY AMABLES. ADEMÁS, LOS EQUIPOS ESTÁN EN EXHIBICIÓN, PUEDES MANIPULARLOS Y ASÍ ELEGIR MEJOR, EL LOCAL ES AMPLIO Y BONITO.",excelente atención los vendedores son muy amables además los equipos están en exhibición puedes manipularlos y así elegir mejor el local es amplio y bonito,161,25,False,False,False,False,True,muy positivo,True,False,
"No se respeta la distancia social hay demasiada gente en el área de cómputo además que hay demora en las cajas, para recoger el producto y para la revisión del mismo. Es una experiencia nada grata ojalá no sea foco de contagio pero no me volveré a arriesgar.",Ripley,Jockey Plaza,Retail,1,muy negativo,Hace 5 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","No se respeta la distancia social hay demasiada gente en el área de cómputo además que hay demora en las cajas, para recoger el producto y para la revisión del mismo. Es una experiencia nada grata ojalá no sea foco de contagio pero no me volveré a arriesgar.",no se respeta la distancia social hay demasiada gente en el área de cómputo además que hay demora en las cajas para recoger el producto y para la revisión del mismo es una experiencia nada grata ojalá no sea foco de contagio pero no me volveré a arriesgar,258,48,False,False,False,False,True,muy negativo,True,False,
"Un excelente Ripley, siempre tiene buena ropa y ofertas.",Ripley,San Miguel,Retail,5,muy positivo,Hace 9 meses,"https://www.google.com/maps/place/Ripley+Plaza+San+Miguel/@-12.0774696,-77.0929724,15z/data=!4m8!3m7!1s0x9105c96d3859bb15:0xb58d1362f3ff5e0e!8m2!3d-12.0774908!4d-77.0826726!9m1!1b1!16s%2Fg%2F1tkkvyrf?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Un excelente Ripley, siempre tiene buena ropa y ofertas.",un excelente ripley siempre tiene buena ropa y ofertas,56,9,False,False,False,False,True,muy positivo,True,False,
"Lugar limpio y adecuado, grande y espacioso, con múltiples opciones de las que escoger, múltiples pisos con diferentes secciones y cada vez más promociones. Para pasar el rato o buscar una buena oferta es muy recomendable así como su delivery, son confiables y ofrecen gran servicio.",Ripley,San Miguel,Retail,4,positivo,Hace 2 años,"https://www.google.com/maps/place/Ripley+Plaza+San+Miguel/@-12.0774696,-77.0929724,15z/data=!4m8!3m7!1s0x9105c96d3859bb15:0xb58d1362f3ff5e0e!8m2!3d-12.0774908!4d-77.0826726!9m1!1b1!16s%2Fg%2F1tkkvyrf?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Lugar limpio y adecuado, grande y espacioso, con múltiples opciones de las que escoger, múltiples pisos con diferentes secciones y cada vez más promociones. Para pasar el rato o buscar una buena oferta es muy recomendable así como su delivery, son confiables y ofrecen gran servicio.",lugar limpio y adecuado grande y espacioso con múltiples opciones de las que escoger múltiples pisos con diferentes secciones y cada vez más promociones para pasar el rato o buscar una buena oferta es muy recomendable así como su delivery son confiables y ofrecen gran servicio,283,46,False,False,False,False,True,positivo,True,False,
El ingreso con doble mascarilla y protector facial atención hasta las 6pm,Tottus,Jockey Plaza,Retail,5,muy positivo,Hace 5 años,"https://www.google.com/maps/place/Tottus+Jockey+Plaza/@-12.0852978,-76.9891988,15z/data=!3m1!5s0x9105c7b3a8d76aa9:0xc6d50a7cd5ae2fea!4m8!3m7!1s0x9105c7b3024900c7:0x1999107f53756036!8m2!3d-12.085319!4d-76.978899!9m1!1b1!16s%2Fg%2F11bzrfl12g?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",El ingreso con doble mascarilla y protector facial atención hasta las 6pm,el ingreso con doble mascarilla y protector facial atención hasta las 6pm,73,12,False,False,False,False,True,muy positivo,True,False,
Variedad de productos y descuentos. Lo único que no me gustó fue la atención lenta al pagar con una cajera. Se que hay módulos donde uno mismo hace todo pero dónde estaba no veía uno cerca .,Falabella,Jockey Plaza,Retail,3,neutral,Hace 2 años,"https://www.google.com/maps/place/Falabella+Jockey+Plaza/@-12.0865358,-76.9882888,15z/data=!4m8!3m7!1s0x9105c7b24f9a0559:0x828b01774db724c1!8m2!3d-12.086557!4d-76.977989!9m1!1b1!16s%2Fg%2F1tc_s1z8?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Variedad de productos y descuentos. Lo único que no me gustó fue la atención lenta al pagar con una cajera. Se que hay módulos donde uno mismo hace todo pero dónde estaba no veía uno cerca .,variedad de productos y descuentos lo único que no me gustó fue la atención lenta al pagar con una cajera se que hay módulos donde uno mismo hace todo pero dónde estaba no veía uno cerca,190,36,False,False,False,False,True,neutral,True,False,
Muy buena disoisición de los colaboradores de la empresa Claro. Sin hacer distinciones a extranjeros o locales. Promueven la equidad en todo sentido y siempre dispuestos a escuchar al cliente.,Claro,Miraflores,Telecomunicaciones,5,muy positivo,Hace 3 años,"https://www.google.com/maps/place/Claro+%7C+Centro+de+Atenci%C3%B3n+%7C+Miraflores/@-12.0671125,-77.1219397,12z/data=!4m12!1m2!2m1!1sclaro+miraflores!3m8!1s0x9105c81937703e63:0xc13d8f83068682dc!8m2!3d-12.1238173!4d-77.0294468!9m1!1b1!15sChBjbGFybyBtaXJhZmxvcmVzIgOIAQFaEiIQY2xhcm8gbWlyYWZsb3Jlc5IBI3RlbGVjb21tdW5pY2F0aW9uc19zZXJ2aWNlX3Byb3ZpZGVy4AEA!16s%2Fg%2F11xbgjr16?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Muy buena disoisición de los colaboradores de la empresa Claro. Sin hacer distinciones a extranjeros o locales. Promueven la equidad en todo sentido y siempre dispuestos a escuchar al cliente.,muy buena disoisición de los colaboradores de la empresa claro sin hacer distinciones a extranjeros o locales promueven la equidad en todo sentido y siempre dispuestos a escuchar al cliente,192,30,False,False,False,False,True,muy positivo,True,False,
Miy limpia la tienda y bonita pero falta mayor atención al cliente ya que todos los vendedores pasan en sus teléfonos y cuando se dan cuenta los clientes n os hemos ido xq no nos atienden,Falabella,Miraflores,Retail,5,muy positivo,Hace 6 años,"https://www.google.com/maps/place/Falabella+Miraflores/@-12.1189161,-77.0396353,15z/data=!3m1!5s0x9105c81763e2747b:0x674025098786c509!4m8!3m7!1s0x9105c8176149b98f:0xa9c9d111f1acf623!8m2!3d-12.1189373!4d-77.0293355!9m1!1b1!16s%2Fg%2F1hf33fyft?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Miy limpia la tienda y bonita pero falta mayor atención al cliente ya que todos los vendedores pasan en sus teléfonos y cuando se dan cuenta los clientes n os hemos ido xq no nos atienden,miy limpia la tienda y bonita pero falta mayor atención al cliente ya que todos los vendedores pasan en sus teléfonos y cuando se dan cuenta los clientes n os hemos ido xq no nos atienden,187,36,False,False,False,False,True,muy positivo,True,False,
"Un exigente control en la entrada. La atención del personal de seguridad, muy respetuosa y respetando los protocolos. El personal de limpieza, realizaba el trapeado del suelo en la entrada, por algún incidente ocurrido y al que espere para su atención. La puerta de salida, de igual forma, con las medidas de seguridad.",Metro,Breña,Retail,4,positivo,Hace 5 años,"https://www.google.com/maps/place/Metro+Bre%C3%B1a/@-12.053956,-77.0534221,15z/data=!4m8!3m7!1s0x9105c8c53e4b0cb1:0x35d73616c6af137!8m2!3d-12.0539772!4d-77.0431223!9m1!1b1!16s%2Fg%2F11h1cmj1r?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Un exigente control en la entrada. La atención del personal de seguridad, muy respetuosa y respetando los protocolos. El personal de limpieza, realizaba el trapeado del suelo en la entrada, por algún incidente ocurrido y al que espere para su atención. La puerta de salida, de igual forma, con las medidas de seguridad.",un exigente control en la entrada la atención del personal de seguridad muy respetuosa y respetando los protocolos el personal de limpieza realizaba el trapeado del suelo en la entrada por algún incidente ocurrido y al que espere para su atención la puerta de salida de igual forma con las medidas de seguridad,319,53,False,False,False,False,True,positivo,True,False,
"Hoy estuvimos en Ripley, compramos un par de cositas en MAC y Baliq,. Pese a ambas ser tiendas que no le pertenecen a Ripley tienen un muy buen trato y trabajan en perfecta coordinación.",Ripley,Miraflores,Retail,5,muy positivo,Hace 7 años,"https://www.google.com/maps/place/Ripley+Miraflores/@-12.1230752,-77.0404893,15z/data=!4m8!3m7!1s0x9105c8191c65706b:0xe588d29fabe35574!8m2!3d-12.1230964!4d-77.0301895!9m1!1b1!16s%2Fg%2F11r8v2c0z?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Hoy estuvimos en Ripley, compramos un par de cositas en MAC y Baliq,. Pese a ambas ser tiendas que no le pertenecen a Ripley tienen un muy buen trato y trabajan en perfecta coordinación.",hoy estuvimos en ripley compramos un par de cositas en mac y baliq pese a ambas ser tiendas que no le pertenecen a ripley tienen un muy buen trato y trabajan en perfecta coordinación,186,34,False,False,False,False,True,muy positivo,True,False,
"Avanzando,se va posicionando.",Claro,Jockey Plaza,Telecomunicaciones,3,neutral,Hace 6 años,"https://www.google.com/maps/place/Centro+de+Atenci%C3%B3n+Claro/@-12.0853526,-76.9814167,17z/data=!4m8!3m7!1s0x9105c7b2f5f34fa3:0x30c8a5f0bc0128cd!8m2!3d-12.0853579!4d-76.9788418!9m1!1b1!16s%2Fg%2F11b6s_4fll?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D","Avanzando,se va posicionando.",avanzando se va posicionando,29,4,False,False,False,False,True,neutral,True,False,
Lugar de pésima atención donde no se puede hacer quejas ni denuncias de mala calidad de servicio que ofrecen tanto de telefonía y cable lo peor y ninguna fiscalización abusos a usuarios como yo y miles de personas,Movistar,San Isidro,Telecomunicaciones,1,muy negativo,Hace 3 años,"https://www.google.com/maps/place/Movistar+-+Centro+de+Atenci%C3%B3n+y+Venta+San+Isidro+-+Juan+de+Arona/@-12.0964878,-77.0379758,15z/data=!3m1!5s0x9105c86f55516a2b:0xb4bdd97027c54e51!4m8!3m7!1s0x9105c86f5551a06f:0x8a1f64392d6a1f9f!8m2!3d-12.096509!4d-77.027676!9m1!1b1!16s%2Fg%2F11bc95wrd7?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Lugar de pésima atención donde no se puede hacer quejas ni denuncias de mala calidad de servicio que ofrecen tanto de telefonía y cable lo peor y ninguna fiscalización abusos a usuarios como yo y miles de personas,lugar de pésima atención donde no se puede hacer quejas ni denuncias de mala calidad de servicio que ofrecen tanto de telefonía y cable lo peor y ninguna fiscalización abusos a usuarios como yo y miles de personas,213,38,False,False,False,False,True,muy negativo,True,False,
"Medianamente variado...; ahora compras online mucho mejor.. hoy 15 de enero del 2025, una promoción del 60%, pero solo en algunos artículos, de los q no existen todas las tallas (me da la impresión q son saldos), el resto que es la mayoría de las mercancía a precio normal, es una estrategia ya conocidas, deberían ser más sinceros y no pretender algo que no es, o la verdad a medias",Falabella,Miraflores,Retail,3,neutral,Fecha de edición: Hace un año,"https://www.google.com/maps/place/Falabella+Miraflores/@-12.1189161,-77.0396353,15z/data=!3m1!5s0x9105c81763e2747b:0x674025098786c509!4m8!3m7!1s0x9105c8176149b98f:0xa9c9d111f1acf623!8m2!3d-12.1189373!4d-77.0293355!9m1!1b1!16s%2Fg%2F1hf33fyft?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Medianamente variado...; ahora compras online mucho mejor.. hoy 15 de enero del 2025, una promoción del 60%, pero solo en algunos artículos, de los q no existen todas las tallas (me da la impresión q son saldos), el resto que es la mayoría de las mercancía a precio normal, es una estrategia ya conocidas, deberían ser más sinceros y no pretender algo que no es, o la verdad a medias",medianamente variado ahora compras online mucho mejor hoy 15 de enero del 2025 una promoción del 60 pero solo en algunos artículos de los q no existen todas las tallas me da la impresión q son saldos el resto que es la mayoría de las mercancía a precio normal es una estrategia ya conocidas deberían ser más sinceros y no pretender algo que no es o la verdad a medias,383,70,False,False,False,False,True,neutral,True,False,
"Buen lugar, tranquilo hay ofertas muy interesantes a veces, pero siempre he podido encontrar lo que busco, tienen un acogedor patio de comidas, muy recomendable para ir a comparación de otros supermercados por la zona, que tienen demasiada gente.",Plaza Vea,Universitaria,Retail,5,muy positivo,Fecha de edición: Hace 3 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D","Buen lugar, tranquilo hay ofertas muy interesantes a veces, pero siempre he podido encontrar lo que busco, tienen un acogedor patio de comidas, muy recomendable para ir a comparación de otros supermercados por la zona, que tienen demasiada gente.",buen lugar tranquilo hay ofertas muy interesantes a veces pero siempre he podido encontrar lo que busco tienen un acogedor patio de comidas muy recomendable para ir a comparación de otros supermercados por la zona que tienen demasiada gente,246,39,False,False,False,False,True,muy positivo,True,False,
"Congestión vehícular por trabajos en las calles, justo para navidad",Falabella,Miraflores,Retail,5,muy positivo,Hace 5 meses,"https://www.google.com/maps/place/Falabella+Miraflores/@-12.1189161,-77.0396353,15z/data=!3m1!5s0x9105c81763e2747b:0x674025098786c509!4m8!3m7!1s0x9105c8176149b98f:0xa9c9d111f1acf623!8m2!3d-12.1189373!4d-77.0293355!9m1!1b1!16s%2Fg%2F1hf33fyft?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Congestión vehícular por trabajos en las calles, justo para navidad",congestión vehícular por trabajos en las calles justo para navidad,67,10,False,False,False,False,True,muy positivo,True,False,
"Excelente clima cuando ingresas, música divertida, hasta huele bien, variedad en los productos, diversificación de zonas, en área de muebles hay bastantes modelos muy bonitos y actualizados con novedades para el hogar, hubo un personal muy amable que nos atendio como 1 hora para ayudarnos a escoger la alfombra y muebles que compramos. Buena experiencia",Falabella,San Isidro,Retail,5,muy positivo,Fecha de edición: Hace 7 años,"https://www.google.com/maps/place/Falabella+San+Isidro/@-12.095059,-77.0353392,15z/data=!3m1!5s0x9105c8659f44c175:0xad6aabac9e79ccf4!4m8!3m7!1s0x9105c8659f618827:0xeb62a6d2d04ae434!8m2!3d-12.0950802!4d-77.0250394!9m1!1b1!16s%2Fg%2F12vr6lfkt?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Excelente clima cuando ingresas, música divertida, hasta huele bien, variedad en los productos, diversificación de zonas, en área de muebles hay bastantes modelos muy bonitos y actualizados con novedades para el hogar, hubo un personal muy amable que nos atendio como 1 hora para ayudarnos a escoger la alfombra y muebles que compramos. Buena experiencia",excelente clima cuando ingresas música divertida hasta huele bien variedad en los productos diversificación de zonas en área de muebles hay bastantes modelos muy bonitos y actualizados con novedades para el hogar hubo un personal muy amable que nos atendio como 1 hora para ayudarnos a escoger la alfombra y muebles que compramos buena experiencia,354,55,False,False,False,False,True,muy positivo,True,False,
Dentro del Jockey Plaza ofrece ropa accesorios para todos los gustos lo malo es que a veces las colas en los probadores son largas y hay q esperar y cuando hay ofertas las colas se duplican,Falabella,Jockey Plaza,Retail,4,positivo,Fecha de edición: Hace 6 años,"https://www.google.com/maps/place/Falabella+Jockey+Plaza/@-12.0865358,-76.9882888,15z/data=!4m8!3m7!1s0x9105c7b24f9a0559:0x828b01774db724c1!8m2!3d-12.086557!4d-76.977989!9m1!1b1!16s%2Fg%2F1tc_s1z8?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Dentro del Jockey Plaza ofrece ropa accesorios para todos los gustos lo malo es que a veces las colas en los probadores son largas y hay q esperar y cuando hay ofertas las colas se duplican,dentro del jockey plaza ofrece ropa accesorios para todos los gustos lo malo es que a veces las colas en los probadores son largas y hay q esperar y cuando hay ofertas las colas se duplican,189,36,False,False,False,False,True,positivo,True,False,
"Buenos productos, lo malo son las cajas muchas colany desorden",Falabella,San Isidro,Retail,5,muy positivo,Hace 6 meses,"https://www.google.com/maps/place/Falabella+San+Isidro/@-12.095059,-77.0353392,15z/data=!3m1!5s0x9105c8659f44c175:0xad6aabac9e79ccf4!4m8!3m7!1s0x9105c8659f618827:0xeb62a6d2d04ae434!8m2!3d-12.0950802!4d-77.0250394!9m1!1b1!16s%2Fg%2F12vr6lfkt?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Buenos productos, lo malo son las cajas muchas colany desorden",buenos productos lo malo son las cajas muchas colany desorden,62,10,False,False,False,False,True,muy positivo,True,False,
"Cómo pueden decirme que si ya me atendió una señorita y por algún motivo vuelvo a sacar ticket para otra cosa, tiene que atenderme la misma señorita. Y si ¿no me gusta su atención? ¿ la tengo que aguantar? No es correcto.",Movistar,San Miguel,Telecomunicaciones,3,neutral,Hace 7 años,"https://www.google.com/maps/place/Movistar/@-12.073177,-77.1385327,13z/data=!4m12!1m2!2m1!1smovistar+san+miguel!3m8!1s0x9105c96d80ef1e1b:0x2b9a36f3b3ce141b!8m2!3d-12.0763796!4d-77.0825337!9m1!1b1!15sChNtb3Zpc3RhciBzYW4gbWlndWVsIgOIAQFaFSITbW92aXN0YXIgc2FuIG1pZ3VlbJIBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11xrdtwpz?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Cómo pueden decirme que si ya me atendió una señorita y por algún motivo vuelvo a sacar ticket para otra cosa, tiene que atenderme la misma señorita. Y si ¿no me gusta su atención? ¿ la tengo que aguantar? No es correcto.",cómo pueden decirme que si ya me atendió una señorita y por algún motivo vuelvo a sacar ticket para otra cosa tiene que atenderme la misma señorita y si no me gusta su atención la tengo que aguantar no es correcto,221,41,False,False,False,False,True,neutral,True,False,
