id_registro,comentario,empresa,sede,rubro,estrellas,sentimiento_estrella,fecha_resena,url,comentario_limpio,texto_modelo,longitud_caracteres,cantidad_palabras,comentario_corto,sin_contenido_alfabetico,duplicado_global,duplicado_empresa_sede,estrellas_validas,sentimiento_esperado,sentimiento_consistente,requiere_revision,motivo_revision,sentimiento_modelo,polaridad_modelo,confianza_modelo,prob_neg,prob_neu,prob_pos,sentimiento_final,sentimiento_final_provisional,requiere_revision_etiqueta,confianza_etiqueta,motivo_revision_etiqueta,sentimiento_final_original,sentimiento_final_origen,sentimiento_ia,confianza_ia,justificacion_ia,usar_etiqueta_ia,sentimiento_ia_neutral,confianza_ia_neutral,justificacion_ia_neutral,usar_etiqueta_ia_neutral,regla_aplicada,tercil_longitud,etiqueta_llm,confianza_llm,justificacion_llm,sentimiento_v2
1562,Increíbles sus descuentos... una pena que no ponga más estrellas... se las daría siempre todas,Falabella,San Isidro,Retail,5,muy positivo,Hace 8 meses,"https://www.google.com/maps/place/Falabella+San+Isidro/@-12.095059,-77.0353392,15z/data=!3m1!5s0x9105c8659f44c175:0xad6aabac9e79ccf4!4m8!3m7!1s0x9105c8659f618827:0xeb62a6d2d04ae434!8m2!3d-12.0950802!4d-77.0250394!9m1!1b1!16s%2Fg%2F12vr6lfkt?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Increíbles sus descuentos... una pena que no ponga más estrellas... se las daría siempre todas,increíbles sus descuentos una pena que no ponga más estrellas se las daría siempre todas,94,15,False,False,False,False,True,muy positivo,True,False,,NEG,negativo,0.5298670530319214,0.5298670530319214,0.1780765056610107,0.2920565009117126,,muy positivo,True,baja,sin_etiqueta_final_confiable;baja_confianza_modelo,,sin_etiqueta,,,,,,,,,,corta,muy positivo,0.94,"Entusiasta elogio a descuentos, desea máxima calificación",muy positivo
1752,"Muy buen lugar, entre las actualizaciones es que quitaron el puesto de Macdonald",Metro,Breña,Retail,4,positivo,Hace 8 meses,"https://www.google.com/maps/place/Metro+Bre%C3%B1a/@-12.053956,-77.0534221,15z/data=!4m8!3m7!1s0x9105c8c53e4b0cb1:0x35d73616c6af137!8m2!3d-12.0539772!4d-77.0431223!9m1!1b1!16s%2Fg%2F11h1cmj1r?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Muy buen lugar, entre las actualizaciones es que quitaron el puesto de Macdonald",muy buen lugar entre las actualizaciones es que quitaron el puesto de macdonald,80,13,False,False,False,False,True,positivo,True,False,,NEU,neutral,0.5384067893028259,0.2327053546905517,0.5384067893028259,0.2288878858089447,,positivo,True,baja,sin_etiqueta_final_confiable;baja_confianza_modelo,,sin_etiqueta,,,,,,,,,,corta,positivo,0.85,"Elogia lugar, menciona única queja menor",positivo
2160,Mal trato. Falta de formalidad.,Movistar,Miraflores,Telecomunicaciones,1,muy negativo,Hace 8 meses,"https://www.google.com/maps/place/Movistar/@-12.1186158,-77.03333,16z/data=!4m12!1m2!2m1!1smovistar+miraflores!3m8!1s0x9105c81c0cef6c61:0x2aed58e607474fbf!8m2!3d-12.1248277!4d-77.026139!9m1!1b1!15sChNtb3Zpc3RhciBtaXJhZmxvcmVzIgOIAQFaFSITbW92aXN0YXIgbWlyYWZsb3Jlc5IBEXRlbGVwaG9uZV9jb21wYW554AEA!16s%2Fg%2F11bc73m4zm?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Mal trato. Falta de formalidad.,mal trato falta de formalidad,31,5,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.9227497577667236,0.9227497577667236,0.0687105879187583,0.0085396319627761,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,,corta,negativo,0.88,Denuncia mal trato y falta de formalidad,negativo
985,"En esta tienda Entel la atención es muy buena y anda vacía osea no hay colas, si deseas realizar cualquier gestión lo puedes hacer.con comodidad. Muy recomendable.",Entel,San Isidro,Telecomunicaciones,5,muy positivo,Hace 5 años,"https://www.google.com/maps/place/TIENDA+PASEO+DE+LA+REPUBLICA+-+ENTEL/@-12.0982674,-77.0367448,15z/data=!3m1!5s0x9105c86f3dde4ac1:0x933beb97bca362e3!4m8!3m7!1s0x9105c865ea057e4f:0x4b6811f4738d98a0!8m2!3d-12.0982886!4d-77.026445!9m1!1b1!16s%2Fg%2F1vs1syvx?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","En esta tienda Entel la atención es muy buena y anda vacía osea no hay colas, si deseas realizar cualquier gestión lo puedes hacer.con comodidad. Muy recomendable.",en esta tienda entel la atención es muy buena y anda vacía osea no hay colas si deseas realizar cualquier gestión lo puedes hacer con comodidad muy recomendable,163,28,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.7253289818763733,0.0154809448868036,0.2591900825500488,0.7253289818763733,muy positivo,muy positivo,False,media,,muy positivo,consistencia_estrella_modelo,,,,,,,,,,media,muy positivo,0.93,"Elogia atención, recomienda fuertemente",muy positivo
4140,Lugar donde encuentras de todo para el hogar. Víveres. Ropa. Artefactos eléctricos. Etcétera. A precios adecuados varía de acuerdo de la marca. Los recomiendo visitar. Tranquilo y seguro,Tottus,Jockey Plaza,Retail,5,muy positivo,Hace 3 años,"https://www.google.com/maps/place/Tottus+Jockey+Plaza/@-12.0852978,-76.9891988,15z/data=!3m1!5s0x9105c7b3a8d76aa9:0xc6d50a7cd5ae2fea!4m8!3m7!1s0x9105c7b3024900c7:0x1999107f53756036!8m2!3d-12.085319!4d-76.978899!9m1!1b1!16s%2Fg%2F11bzrfl12g?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Lugar donde encuentras de todo para el hogar. Víveres. Ropa. Artefactos eléctricos. Etcétera. A precios adecuados varía de acuerdo de la marca. Los recomiendo visitar. Tranquilo y seguro,lugar donde encuentras de todo para el hogar víveres ropa artefactos eléctricos etcétera a precios adecuados varía de acuerdo de la marca los recomiendo visitar tranquilo y seguro,186,28,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.7778660655021667,0.0067911250516772,0.2153428494930267,0.7778660655021667,muy positivo,muy positivo,False,media,,muy positivo,consistencia_estrella_modelo,,,,,,,,,,media,positivo,0.85,"Describe variedad y seguridad, recomienda visita",positivo
2657,El baño debe ser más amplio y limpio,Oechsle,Plaza Norte,Retail,3,neutral,Hace 3 meses,"https://www.google.com/maps/place/Oechsle+-+Plaza+Norte/@-12.0057768,-77.128451,12z/data=!3m1!5s0x11d62a0a81fe2803:0x123dd954ecd1a108!4m12!1m2!2m1!1sOechsle+san+miguel!3m8!1s0x9105cefd6554a025:0x40a7fed0ea54e457!8m2!3d-12.0057768!4d-77.0584132!9m1!1b1!15sChJPZWNoc2xlIHNhbiBtaWd1ZWwiA4gBAVoUIhJvZWNoc2xlIHNhbiBtaWd1ZWySARBkZXBhcnRtZW50X3N0b3Jl4AEA!16s%2Fg%2F11b6v29479?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",El baño debe ser más amplio y limpio,el baño debe ser más amplio y limpio,36,8,False,False,False,False,True,neutral,True,False,,NEU,neutral,0.4829941093921661,0.0392630994319915,0.4829941093921661,0.4777427911758423,neutral,neutral,True,baja,baja_confianza_modelo,neutral,consistencia_estrella_modelo,positivo,media,Comentario favorable sin queja relevante,si,,,,,,corta,negativo,0.8,"Critica baño, insatisfacción puntual",negativo
108,Excelente! GRACIAS,BBVA,San Isidro,Banca,5,muy positivo,Hace 7 años,"https://www.google.com/maps/place/BBVA+San+Isidro/@-12.0989572,-77.1197103,12z/data=!4m12!1m2!2m1!1sbbva+san+isidro!3m8!1s0x9105c8f55f4010bb:0x5808600f510cfb91!8m2!3d-12.0939282!4d-77.0211518!9m1!1b1!15sCg9iYnZhIHNhbiBpc2lkcm-SAQRiYW5r4AEA!16s%2Fg%2F1226g4gx?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Excelente! GRACIAS,excelente gracias,18,2,True,False,False,False,True,muy positivo,True,True,comentario_corto,POS,positivo,0.9092925786972046,0.0138769866898655,0.0768304094672203,0.9092925786972046,muy positivo,muy positivo,True,baja,revision_limpieza,muy positivo,consistencia_estrella_modelo,,,,,,,,,,corta,muy positivo,0.95,Expresa entusiasmo y agradecimiento,muy positivo
1134,"Entiendo las medidas tomadas, pero considero que 2 cajas y 2 personas que ayuden acomodar las cosas, son necesarias, hice una colaza para pagar y solo había una caja habilitada y la cajera tenia que sacar todos los ganchos de la ropa, xq no queria llevarlo. Demoro conmigo 20mint",Falabella,Jockey Plaza,Retail,1,muy negativo,Hace 5 años,"https://www.google.com/maps/place/Falabella+Jockey+Plaza/@-12.0865358,-76.9882888,15z/data=!4m8!3m7!1s0x9105c7b24f9a0559:0x828b01774db724c1!8m2!3d-12.086557!4d-76.977989!9m1!1b1!16s%2Fg%2F1tc_s1z8?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Entiendo las medidas tomadas, pero considero que 2 cajas y 2 personas que ayuden acomodar las cosas, son necesarias, hice una colaza para pagar y solo había una caja habilitada y la cajera tenia que sacar todos los ganchos de la ropa, xq no queria llevarlo. Demoro conmigo 20mint",entiendo las medidas tomadas pero considero que 2 cajas y 2 personas que ayuden acomodar las cosas son necesarias hice una colaza para pagar y solo había una caja habilitada y la cajera tenia que sacar todos los ganchos de la ropa xq no queria llevarlo demoro conmigo 20mint,279,49,False,False,False,False,True,muy negativo,True,False,,NEU,neutral,0.5077143907546997,0.469219833612442,0.5077143907546997,0.0230657830834388,muy negativo,muy negativo,True,baja,sin_etiqueta_final_confiable;baja_confianza_modelo,,regla_voto_ponderado,,,,,,,,,R2_estrella_1_neu,larga,negativo,0.88,Queja por demoras y falta de cajas,negativo
4258,"Soy cliente semanal de Tottus San Miguel, me gusta este supermercado porque está muy surtido y siempre presenta buenas ofertas en productos de primera necesidad. Lo único que no me gusta tanto es que habiendo numerosas cajas, éstas no atiendan todas para evitar así las largas colas que se forman en horas puntas en fin de semana.",Tottus,San Miguel,Retail,4,positivo,Hace 7 años,"https://www.google.com/maps/place/Tottus/@-12.0796251,-77.0990292,15z/data=!3m1!5s0x9105c97057064a8d:0x41fd3d4df91882d3!4m8!3m7!1s0x9105c97051ad2673:0x267a96504f49c637!8m2!3d-12.0796463!4d-77.0887294!9m1!1b1!16s%2Fg%2F11b6srlhk5?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Soy cliente semanal de Tottus San Miguel, me gusta este supermercado porque está muy surtido y siempre presenta buenas ofertas en productos de primera necesidad. Lo único que no me gusta tanto es que habiendo numerosas cajas, éstas no atiendan todas para evitar así las largas colas que se forman en horas puntas en fin de semana.",soy cliente semanal de tottus san miguel me gusta este supermercado porque está muy surtido y siempre presenta buenas ofertas en productos de primera necesidad lo único que no me gusta tanto es que habiendo numerosas cajas éstas no atiendan todas para evitar así las largas colas que se forman en horas puntas en fin de semana,330,57,False,False,False,False,True,positivo,True,False,,NEG,negativo,0.8322149515151978,0.8322149515151978,0.1311468631029129,0.0366381555795669,,positivo,True,baja,sin_etiqueta_final_confiable,,sin_etiqueta,,,,,,,,,,larga,positivo,0.85,"Elogia surtido y ofertas, menciona colas",positivo
2430,"Pésima atención les preocupa más hacer un contrato nuevo. La cola preferencias al sol y muy lenta más conversan que trabajan,",Movistar,San Miguel,Telecomunicaciones,2,negativo,Hace 4 años,"https://www.google.com/maps/place/Movistar/@-12.073177,-77.1385327,13z/data=!4m12!1m2!2m1!1smovistar+san+miguel!3m8!1s0x9105c96d80ef1e1b:0x2b9a36f3b3ce141b!8m2!3d-12.0763796!4d-77.0825337!9m1!1b1!15sChNtb3Zpc3RhciBzYW4gbWlndWVsIgOIAQFaFSITbW92aXN0YXIgc2FuIG1pZ3VlbJIBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11xrdtwpz?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Pésima atención les preocupa más hacer un contrato nuevo. La cola preferencias al sol y muy lenta más conversan que trabajan,",pésima atención les preocupa más hacer un contrato nuevo la cola preferencias al sol y muy lenta más conversan que trabajan,125,21,False,False,False,False,True,negativo,True,False,,NEG,negativo,0.9762993454933168,0.9762993454933168,0.0204328019171953,0.0032677832059562,negativo,negativo,False,alta,,negativo,consistencia_estrella_modelo,,,,,,,,,,media,muy negativo,0.94,"Critica atención y lentitud, tono fuertemente negativo",muy negativo
4789,"Excelente lugar para comprar pan, quesos, licores, artículos para el hogar, buen servicio, aunque los precios de frutas y verduras un poco altos, bella edificación",Wong,San Isidro,Retail,5,muy positivo,Hace un año,"https://www.google.com/maps/place/Wong+Dos+de+Mayo/@-12.0919728,-77.0521564,15z/data=!4m8!3m7!1s0x9105c85a2cafbeed:0xff7fa211810ed3fb!8m2!3d-12.091994!4d-77.0418566!9m1!1b1!16s%2Fg%2F1td3skj_?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Excelente lugar para comprar pan, quesos, licores, artículos para el hogar, buen servicio, aunque los precios de frutas y verduras un poco altos, bella edificación",excelente lugar para comprar pan quesos licores artículos para el hogar buen servicio aunque los precios de frutas y verduras un poco altos bella edificación,163,25,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9631286859512328,0.0030259662307798,0.0338454581797122,0.9631286859512328,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,,media,positivo,0.85,"Elogia tienda y servicio, menciona precios altos",positivo
