id_registro,empresa,rubro,estrellas,comentario_limpio,etiqueta_modelo,confianza_modelo,cluster,sentimiento_v2,etiqueta_revisada,observacion_revision
3572,Ripley,Retail,4,"Todo ordenado a pesar de las promociones, la atención también fue muy buena excepto dos señoritas por el área de pantalones.Solo una sugerencia ,la puerta de salida ahora es una pequeña y se tiene que hacer larga cola para retirarse del establecimiento ... no es seguro una puerta tan pequeña para tanta gente que está dentro de la tienda. No es seguro!",neutral,0.4736999869346618,9.0,positivo,,
181,BCP,Banca,5,Nariz,neutral,0.3355000019073486,6.0,neutral,,
4349,Wong,Retail,3,Va mejorando! Hoy si me apoyaron con las cosas y casi encontré todo!! Falto filete de pavo fresco.,muy positivo,0.3100000023841858,6.0,positivo,,
4084,Tottus,Retail,4,"Solo la cajera de la venta de artefactos eléctricos es muy antipática y se demora en atender al cliente, tanto esperar deje de comprar la olla arrocera marca Thomas de 1.8lt, tener personas con tino y buen trato, gracias por solicitar mi opinión.",muy positivo,0.2919999957084656,20.0,negativo,,
3180,Plaza Vea,Retail,5,Últimas compritas 🌲🥳🙌🏻…,negativo,0.4878000020980835,6.0,muy positivo,,
4640,Wong,Retail,5,"La comida preparada como los chicharrones y sus tamales son A1, exquisitos y mejor que en cualquier Chicharroneria de Surquillo y la gran variedad de pan y fruta hacen de Wong la mejor opción de Súper de barrio si vives x la zona de Miraflores",positivo,0.4884999990463257,23.0,muy positivo,,
3731,Ripley,Retail,5,"Encuentras de todo y para toda la familia, en estos días hay una oferta con los vales que se entregaron durante los meses anteriores, por cada 100 soles de compra, puedes obtener hasta 50 soles de descuento en las marcas indicadas en los paneles informativos que están en todas las áreas donde se venden los diversos productos, cabe indicar que está oferta solo es entre el 26 y 31 de diciembre del 2022, lo que si, las colas son largas para cancelar pero hay cajas rápidas de autoservicio, el descuento solo es en vestimenta, calzado, ropa interior, decoración. Hay que aprovechar las ofertas que muchas veces son con cualquier medio de pago, no necesariamente con la tarjeta Ripley, otra novedad es que no cobran estacionamiento como en otros centros comerciales, la entrada es por la avenida universitaria, antes de la curva llegando a la Av la Marina.",muy positivo,0.4751999974250793,6.0,neutral,,
2189,Movistar,Telecomunicaciones,3,Me sorprendió la celeridad de la atención y la solución de mi consulta en minutos. Ya no existe la aglomeración y el mal humor del personal. Tal es así que decidí migrar de operador hacía Movistar.,neutral,0.3592999875545501,4.0,muy positivo,,
810,Entel,Telecomunicaciones,1,No recomendable,negativo,0.3698000013828277,4.0,muy negativo,,
4664,Wong,Retail,2,"Las veces que he ido siempre hay cola, y la atención demora mucho, la cola que no haces en el evento, lo haces en teleticket. El sistema de compra por Internet debe mejorar ya que si bien lo compras por Internet igual tienes que ir a un punto de teleticket para recoger o imprimir las entradas. Hay muchas cosas que mejorar o innovar.",negativo,0.4717000126838684,9.0,negativo,,
3792,Ripley,Retail,5,"Todo lo que es ropa deportiva y zapatillas, hay bastante variedad",muy positivo,0.3770999908447265,23.0,positivo,,
2659,Oechsle,Retail,3,"De ofertas muy poco en realidad, los productos rebajados son muy pocos. Lo cierto es que aplican cierta táctica de marketing en que suben el precio y a ese precio elevado le hacen la rebaja, resultado sigue costando lo mismo.",negativo,0.4735000133514404,6.0,negativo,,
4641,Wong,Retail,5,"Super amplio y con mucha variedad, además de gran ofertas",muy positivo,0.474700003862381,23.0,positivo,,
2177,Movistar,Telecomunicaciones,2,"Servicio lento, pero funciona, no esperes un buen servicio",neutral,0.4657999873161316,20.0,negativo,,
25,BBVA,Banca,1,La verdad la persona q me atendió fue lo más déspota y lo único q quería era q me fuera...ni .más voy,negativo,0.4690999984741211,4.0,muy negativo,,
353,BanBif,Banca,4,Sede Principal Del Banco Interamericano de Finanzas o mas bien conocido como BANBIF ubicado en la Avenida Rivera Navarrete en el distrito de San Isidro. Este edificio se distingue del resto al tener una forma de planta en cruz y un enchapado de color plateado que resalta sobre todas las demás edificaciones de la zona. La atención del personal es muy buena como en las demás sedes de este banco.,positivo,0.4882000088691711,6.0,muy positivo,,
4585,Wong,Retail,5,"Hay buenas tortas, mousse, postres en general, panaderia, tienen cajas autoservicio para que uno mismo scanee sus productos y los pague con tarjeta de crédito. La cajera que me atendió fue amable y me trajo otro POS porque mi tarjeta no pasaba en los que utilizan normalmente.",positivo,0.4796999990940094,6.0,positivo,,
2577,Oechsle,Retail,5,Un retail donde se encuentra las mejores marcas de ropa,positivo,0.3890999853610992,6.0,positivo,,
2337,Movistar,Telecomunicaciones,5,Recomendable ir dia de semana y por la mañana....,neutral,0.444599986076355,6.0,positivo,,
576,Claro,Telecomunicaciones,3,Bien para comprar una tarjeta prepago (hay diferentes bonos de días y gigas) para utilizar durante nuestro viaje a Perú.,positivo,0.4183000028133392,6.0,positivo,,
4355,Wong,Retail,3,"Buenos dias su atención , en sus tiendas y clasificación de sus productos esta aceptable no bajen la guardia con el control de higuiene en el protocolo del MNSA gracias",positivo,0.4492000043392181,4.0,neutral,,
404,Claro,Telecomunicaciones,1,Hoy solicite claro Hogar Deja do mis datos y un par de horas después recibo un mensaje de wow! Cuando solo había preguntado por claro! Por favor no filtren información o fiscalicen mejor a sus trabajadores!,negativo,0.4871000051498413,4.0,muy negativo,,
3822,Scotiabank,Banca,1,"NO ABRAS AQUI UNA CUENTA EN EUROS, ANDA AL INTERBANK, ahí abrieron La cuenta en 15 min cuando en el Scotiabank me pidieron abrir primero una cuenta en soles otra en dólares y después de 6 meses recién podía darles mis euros. Como si fuera un premio para mí el poder abrir finalmente la cuenta en EUR.",negativo,0.4731000065803528,4.0,muy negativo,,
1972,Movistar,Telecomunicaciones,1,"El local está cerrado e inoperante, acabo de estar ahí y a las 10:30 am, viernes (dentro de su rango de atención) y se ve abandonado. Pueden ver el letrero de SE VENDE en 7na de las fotos aquí subidas.",muy negativo,0.4627000093460083,6.0,muy negativo,,
717,Claro,Telecomunicaciones,4,Atienden también año nuevo?,negativo,0.4347999989986419,4.0,neutral,,
1906,Metro,Retail,5,"Muy amplio, fui a recoger mi compra por Internet. Atención rápida. Esta vez hicimos compras para la parrilla. Esta vez si compré en tienda. No había lo que busque, pero encontré buena oferta en alimento para mis gatitas: 5.50 paté Felix si compras 2 y la bolsa de 9 kgs. de Ricocat esterilizado a 91 y compré un poco de ropa barata, para el diario (pantalones de buzo)",positivo,0.4578000009059906,6.0,positivo,,
2789,Plaza Vea,Retail,3,"Quiza uno de los mejores Plaza Vea, solo se puese acceder entrando al centro comercial. Tiene una buena coleccion de vinos.",positivo,0.4993999898433685,1.0,muy positivo,,
1487,Falabella,Retail,4,Hay de todo. Tiene lugares para comprar y comer los vestidores son muy lejos y pocos para un lugar tan grande,neutral,0.4952000081539154,6.0,neutral,,
2906,Plaza Vea,Retail,5,Yo compro mis viveres y fruta para mi semana,neutral,0.4627000093460083,6.0,neutral,,
2079,Movistar,Telecomunicaciones,5,"Fui en la tarde y estaba casi vacío, me atendieron muy amablemente y me dieron solución.",positivo,0.4900000095367431,6.0,positivo,,
1956,Metro,Retail,5,Un super mercados con todo lo necesario para el hogar y está al costado del grifo Resol y al otro costado Cinemark en una Av. Muy importante q es la marina,neutral,0.4749000072479248,6.0,neutral,,
3883,Scotiabank,Banca,2,No funciona el servicio telefónico del banco.,negativo,0.4332999885082245,4.0,negativo,,
4727,Wong,Retail,5,"Tienen una muy amplia variedad de productos: Panadería, carnes, congelados, frutas y verduras, embutidos, lácteos, menestras, osas para el hogar, electrodomésticos, juguetes y productos de limpieza. Brindan una buena atención, pero por lo general las cajas siempre están llenas, pero si lleva 10 artículos o menos puede pasar a caja rápida o al autoservicio.",positivo,0.4334000051021576,23.0,positivo,,
778,Claro,Telecomunicaciones,3,Fui a Metro para hacer unas compras y no a Claro específicamente.,neutral,0.4442000091075897,4.0,neutral,,
2910,Plaza Vea,Retail,1,"Los productos tienen precios diferente en las góndolas y la caja , muy desorganizado y cuando pagas no te dan opción a revisar si realmente el producto coincide con el precio que uno vio , y sucede en casi todos los locales.",negativo,0.4638000130653381,4.0,negativo,,
2390,Movistar,Telecomunicaciones,1,Cola para asesores y reclamos A tener buen ánimo porque la espera es larga.,neutral,0.4293000102043152,9.0,negativo,,
3679,Ripley,Retail,3,Muy caro y no me gustó nada,muy negativo,0.4652000069618225,4.0,muy negativo,,
4519,Wong,Retail,3,"Tiene variedad de marcas sin embargo los precios no son los más bajos. Ideal para ir con pocas personas pues no es muy grande. Cuenta con parqueo y servicio de taxi a las afueras del establecimiento. Sus helados artesanales son ricos. Los baños son pequeños, tampoco hay muchas cajas. Podría mejorar.",neutral,0.4720999896526336,6.0,neutral,,
891,Entel,Telecomunicaciones,1,"No hay lugar donde estacionar, la municipalidad de San Isidro está con hambre , queriando levantar autos, atentos ,la municipalidad de San Isidro se levanta los autos están hambrientos",negativo,0.4781000018119812,8.0,negativo,,
4412,Wong,Retail,4,"Buen local, amplio , buenos productos, amplia cochera, buen trato, muy bueno, recomendado",positivo,0.4866999983787536,20.0,muy positivo,,
2915,Plaza Vea,Retail,1,"No entiendo como un plaza vea abre a las 8am en Miraflores Se supone que uno va a comprar la fruta, el pan, el agua para la casa de los niños a primera hora de la mañana 7:am",negativo,0.4774999916553497,21.0,negativo,,
3507,Ripley,Retail,5,EXCELENTE LUGAR PARA LIGAR HACER AMIGOS NUEVOS TENER PAREJA CONOCER A PERSONAS MARAVILLOSAS,negativo,0.4007000029087066,22.0,muy positivo,,
775,Claro,Telecomunicaciones,2,No me gusta mucha publicidad y spam en mensajes es un acoso su servicio,negativo,0.44200000166893,4.0,negativo,,
4353,Wong,Retail,3,"Esta tienda de Wong, es moderadamente en tamaño. Sin embargo está bien equipada. Hay variedad, claro que sería ideal que sea más espaciosa. Pero algo que me gusta mucho y valoro es el trato al cliente.",positivo,0.4577000141143799,6.0,positivo,,
4601,Wong,Retail,5,"La atención fue muy rápida, me gustó",muy positivo,0.4656000137329101,19.0,positivo,,
441,Claro,Telecomunicaciones,4,Saben si ahy stock del Samsung s3 ??,negativo,0.4745000004768371,4.0,neutral,,
3609,Ripley,Retail,5,Variedad de cosas para adquirir,neutral,0.4562000036239624,23.0,neutral,,
1827,Metro,Retail,1,Son las 8:20 AM y Western Unión está cerrado,negativo,0.3943000137805938,6.0,negativo,,
3374,Ripley,Retail,1,"El distanciamiento y los aforos si bien se aplican en lo reglamentario desde mi ver es preferible hacer las compras en línea y evitar la compra presencial, es al fin y al cabo un lugar cerrado sin ventilación natural dónde los más descontrolados al interior de la tienda son los padres con niños que no soportan las condiciones de protección Covid 19",muy negativo,0.4939999878406524,6.0,negativo,,
3425,Ripley,Retail,4,"Solo fui a comprar un perfume que no encontré pero compré otra marca, no demoré en realizar mi compra y la atención fue buena, me orientaron donde encontrar los productos. Sugerencia no descuidar las medidas de bioseguridad.",positivo,0.448199987411499,4.0,positivo,,
4517,Wong,Retail,3,"El supermercado cuenta con cosas básicas de alimentos, bebidas. Si estas pensando en comprar electrodomésticos en este local encontrarás algunos tv, no es recomendable ir para eso. Entregan bolsas de papel pero no tienen asas, no tenían de plástico. Tomen sus precauciones.",positivo,0.4487999975681305,4.0,negativo,,
2567,Oechsle,Retail,4,Se pueden encontrar con buenas ofertas que pasan desapercibidas por la mayoría ya que este local no es muy transitado.,neutral,0.4726999998092651,11.0,positivo,,
1580,Interbank,Banca,5,Cómo todo banco,positivo,0.4562000036239624,4.0,negativo,,
4461,Wong,Retail,5,"Muy limpio y ordenado, me gusta mucho su organización y su distribución",positivo,0.4961999952793121,10.0,muy positivo,,
2021,Movistar,Telecomunicaciones,2,Hacen esperar mucho tiempo para la atencion ... Hasta para hacer una consulta hay que hacer cola ... Deberia de haber una chica asi como hay en el bcp que te pregunta que operación desea realizar y te indica. Mejorar,negativo,0.4751000106334686,9.0,negativo,,
2695,Oechsle,Retail,4,Ha mejorado sus precios con respecto a su competencia directa saga y Ripley. Recomiendo ir a coger la ofertas.,positivo,0.440200001001358,6.0,muy positivo,,
1785,Metro,Retail,5,"El metro de Breña es una tienda bastante amplia y se encuentra en la intersección de la Av Alfonso Ugarte con Av Venezuela, Cercado de Lima. Aquí se encuentra una variedad de productos alimenticios a precios razonables, aparatos electrodomésticos, electrónicos, colchones, PC, laptops, impresoras, etc. Atiende de 7.30 am a 10.00 pm. Es fácil de llegar pues está cerca de Av Bolivia, Washington, Wilson, etc. El ingreso es con doble mascarilla y se cumplen medidas de seguridad.",positivo,0.4824000000953674,6.0,neutral,,
500,Claro,Telecomunicaciones,1,En esta tienda no hay personal para una atención adecuada en tiempos. Calcula unas 2 horas de espera si quieres hacer alguna operación acá.,neutral,0.4277999997138977,4.0,muy negativo,,
3927,Tottus,Retail,3,"Si bien es cierto que en este centro comercial se esfuerzan en cumplir con los protocolos de bioseguridad... Existe aglomeración de gente en los pasillos, por la necesidad de encontrar los productos de primera necesidad... Evitar acudir en compañía de niños.",neutral,0.4460000097751617,1.0,negativo,,
1438,Falabella,Retail,1,"Mi descontento en este patio de comida es con kentucky. Recomiendo que al comprar cuenten bien las piezas de pollo. A mi me dieron 3 menos. Y por lo que pude apreciar en el lugar, a otra persona también.",neutral,0.3817000091075897,6.0,negativo,,
940,Entel,Telecomunicaciones,3,"La atención suele ser rápida, aunque los sistemas que manejan llegan a ralentizar al usuario. Hay buenos equipos en exhibición, al alcance del cliente, la caja de pago es rápida. Puede decirse que el cliente sale satisfecho incluso si no llega a adquirir equipo alguno. Puntos en contra que no haya estacionamiento exclusivo para clientes tanto en auto y moto, inconcebible para estar ubicado en el corazón financiero de Lima.",negativo,0.4334999918937683,4.0,positivo,,
3102,Plaza Vea,Retail,4,"Hay casi de todo y a buen precio,. Está bien distribuido. Desde comida perecible, conservas, ropa, artefactos eléctricos, perfumería, menaje. Muy variado. Para mi su único punto en contra es que esta en el sótano. Si vas con carro, sales directo a la playa de estacionamiento e inclusive te sellan el ticket, pero sin carro, es más complicado.",neutral,0.4433000087738037,20.0,positivo,,
4320,Tottus,Retail,5,"Yo he realizado compras por Internet y super bueno el despacho, me siento bien comprando de esa forma. De paso que visitó el kfc que está dentro jiji",positivo,0.4975999891757965,6.0,muy positivo,,
3826,Scotiabank,Banca,1,Cajero multiservicios malogrado,neutral,0.4612999856472015,4.0,muy negativo,,
461,Claro,Telecomunicaciones,4,Me atendieron rápido por ser preferencial.. Me ayudaron con lo que solicité,positivo,0.4535999894142151,6.0,muy positivo,,
3445,Ripley,Retail,4,"Agradable visitarlos y variedad en sus precios, pero poco personal ò estaban en otras funciones ò no estaban en su puesto. Observé personal de polo morado en grupos cuando no se debe ya que hay una distancia reglamentaria de distancia que es de 1.50 metros. Después lo demás bien.",positivo,0.4235000014305115,4.0,neutral,,
860,Entel,Telecomunicaciones,5,Central entel peru,neutral,0.4936999976634979,6.0,neutral,,
4101,Tottus,Retail,4,Me encanta ir a este lugar es grande variado seguro tranquilo encuentras de todo sus precios son accesibles y sus verduras se conservan muy bien al pasar los días buena calidad.. solo que deberían de poner más cajas es bien grande el local y sobrado pueden habilitar más cajas con el distanciamiento apropiado y evitar las colas largas para ingresar,muy positivo,0.4528000056743622,6.0,muy positivo,,
4435,Wong,Retail,5,"Es un Wong higienico, la atención es buena, al frente hay un Cineplanet, solía comprar comics de Marvel en tapa dura en 2017 aquí. Al lado hay un kiosko con variedad de productos.",neutral,0.4650000035762787,23.0,positivo,,
3264,Plaza Vea,Retail,4,"Lugar ordenado, el único detalle. Cochera 5 soles. Si consumes 10 soles, te dan media hora, si consumes 50, te dan 1 hora, si vas al entretenimiento de niños y no consumes en plaza vea, tendrás que pagar 5 soles la hora.",neutral,0.4805000126361847,21.0,neutral,,
4075,Tottus,Retail,3,"asi como el brillo de felicidad y satisfacción de una mujer habla bien de un esposo, el estado emocional de los colaboradores transmite lo mismo a los compradores, la gente mas educada cubre con cortesía los temblores internos.",negativo,0.4690999984741211,6.0,positivo,,
1593,Interbank,Banca,1,Solo necesito saber el número de ruta (ROUTING number) de mi cuenta. Necesito esto para poder enviar dinero de USA a mi cuenta y sin este # no pueden hacerlo. Es un número de 9 dígitos.,negativo,0.4726000130176544,4.0,neutral,,
4645,Wong,Retail,5,"Aunque no muy espacioso, este súpermercado tiene una gran variedad de productos y marcas, especialmente en el segundo piso, donde están los vinos y los fiambres.",positivo,0.4896000027656555,23.0,positivo,,
2942,Plaza Vea,Retail,3,"Lugar cómodo y seguro para comprar. Oportunidad de mejora, la zona de alimentos por peso tiene comidas básicas y mal preparadas, el arroz se ve recalentado y la ensalada por ejemplo me tocó con un sabor extraño, como para no volver a usar ese servicio",neutral,0.4539999961853027,6.0,negativo,,
1585,Interbank,Banca,1,"largas colas, ambientes sucios",negativo,0.4781999886035919,6.0,negativo,,
1098,Entel,Telecomunicaciones,5,Un problema que me estaba tomando más tiempo del necesario me fue resuelto en 10 minutos. Personal competente y solícito.,muy positivo,0.4419000148773193,4.0,positivo,,
3923,Tottus,Retail,3,"Tiene un outlet de saga grande, es un gran espacio el Sodimac tiene casi todo tiene estacionamiento amplio pero fin de semana es un gran lío hay demasiada gente y los cajeros de la tienda Tottus no se abastecen muchos incluso no saben ni como guiar a la gente hacer sus colas, cuando ya están cerca a caja les dice que solo atenderán preferencial.",negativo,0.4785000085830688,9.0,negativo,,
1310,Falabella,Retail,4,"Hoy entre a las 11 de la mañana en punto, los trabajadores se pusieron en dos filas a los costados y se pusieron a aplaudir al ritmo de una canción muy linda cuando pasabamos, fue un momento agradable. Hay productos variados y bastantes estantes de perfumes.",positivo,0.4970000088214874,6.0,muy positivo,,
3818,Scotiabank,Banca,1,Comisiones inmensas.,negativo,0.4419000148773193,6.0,negativo,,
216,BCP,Banca,5,De lujo,neutral,0.3953000009059906,6.0,muy positivo,,
2058,Movistar,Telecomunicaciones,4,"Si me gusto la atención, no había mucha gente para realizar mi pago de mi internet y tlf Fijo, recomendado para pagar.",neutral,0.4158999919891357,9.0,muy positivo,,
3719,Ripley,Retail,4,"Generalmente es bueno. Se necesitaría mejor señalización para tanto las cajas como para los productos que se encuentren en otros pisos. Adicionalmente, algunas zonas no cuentan con ayuda inmediata (entiendo que hay otras zonas que necesiten más soporte) lo cual dificulta un poco la consulta o compra de productos.",negativo,0.4661000072956085,6.0,positivo,,
4280,Tottus,Retail,5,"De todo y gente muy cordial. Un punto en contra no tiene tolerancia en el cobro de estacionamiento. No había lo que fui a buscar, estuve 10 minutos y tuve que pagar tarifa completa.",positivo,0.3122000098228454,4.0,neutral,,
4606,Wong,Retail,5,"Tienen todo tipo de productos, desde cubiertos tazas y ollas pasando por electrodomesticos hasta productos importados y amplia variedad de vinos y fiambres. Jamones ahumados, etc",positivo,0.4386999905109405,23.0,neutral,,
1069,Entel,Telecomunicaciones,3,"Fui a cancelar mi móvil, pero es pésimo su servicio de telefonía qué ofrece, por eso me cambié a otro operario, No lo recomiendo, gracias",negativo,0.4287999868392944,7.0,muy negativo,,
1306,Falabella,Retail,3,El banco está cerrado por remodelaciones y nunca avisaron 😤…,negativo,0.4562000036239624,6.0,negativo,,
1796,Metro,Retail,5,El KFC nuevo y el Starbucks le ha dado el real toque,neutral,0.4178000092506408,6.0,positivo,,
1411,Falabella,Retail,5,"Me gusta mucho la ropa de saga, es algo que extraño mucho de Lima.",neutral,0.477400004863739,24.0,muy positivo,,
3877,Scotiabank,Banca,1,lenta atención,negativo,0.3867000043392181,19.0,negativo,,
2514,Oechsle,Retail,3,"Hay diversidad de prendas, zapatillas, camisas, etc, y muchas veces a buenos precios. El problema es que los vendedores no se disponen a ayudarte, o al menos la gran mayoría. Esto es muy importante porque muchos clientes se van por esta atención tan deficiente.",neutral,0.4672999978065491,15.0,negativo,,
1728,Metro,Retail,4,"Se puede comprar con tranquilidad. Hay ocasiones en que las cajeras de preferencial, no hacen respetar la cola, y no toman en cuenta el objetivo como tal.",negativo,0.4706999957561493,4.0,neutral,,
3565,Ripley,Retail,4,Buen lugar solo que cuando hay mucha gente para pagar si bien atienden hasta que todos puedan llevar sus productos. El tema de administrar la cola es lo que ocasionó largas esperas. Sobre el precio son buenos a veces encuentras buenas ofertas y con los cupones que cada cierto tiempo ofrecen va bien.,neutral,0.4596999883651733,9.0,positivo,,
3707,Ripley,Retail,4,"Precios altos, y ropa aún más alta (soy chato)",neutral,0.4275999963283539,6.0,negativo,,
2498,Oechsle,Retail,2,ponen en venta barata licuadoras que ya no tiene marca thomas,neutral,0.444599986076355,4.0,negativo,,
3928,Tottus,Retail,3,Hay estacionamiento. Es gratuito las tres primeras horas. Cumplen con todos los protocolos de bioseguridad. Está muy surtido y debe ser el Tottus que tiene más personal para atención al público. Encontré todo lo que quería. Incluidas mascarillas quirúrgicas. Me costaron 50 unidades por 21 soles y monedas. Volvería para seguir comprando.,muy positivo,0.4763999879360199,6.0,muy positivo,,
1940,Metro,Retail,5,Se encuentra de todo en cuestión de alimentos,neutral,0.4287999868392944,6.0,neutral,,
4502,Wong,Retail,2,"Tiene precios que no respetan en sus etiquetas en mi caso fue de un chocolate decia 1.99. Cuando fuí a caja el precio era 3.99. Ante mi consulta ante la cajera me dijo que no habia el chocolate de 1.99 ,aunque el chocolate que saque estaba en el lugar de la etiqueta 1.99. Ademas la atencion de la señorita fue fria, no saludo ni agradeció por las compras que hice. Recomendacion una capacitacion urgente a las señoritas de caja sobre la adecuada atencion al publico. Gracias.",negativo,0.4090000092983246,4.0,muy negativo,,
2652,Oechsle,Retail,2,"Lamentablemente el personal que trabaja en plaza norte No es amable al parecer están cansados y sin ganas de atender ,un poco más y te dicen ya vete ... sobre todo las cajeras . Respecto a la ropa Oeshle presenta cosas agradables y en ocasiones hay ofertas buenísimas.",neutral,0.4724999964237213,4.0,negativo,,
2005,Movistar,Telecomunicaciones,1,No fue muy agradable,negativo,0.4347999989986419,6.0,negativo,,
4295,Tottus,Retail,5,"Me gusta la seguridad que están tomando respetan las medidas del distanciamiento tienen alcohol en gel y sistemas de limpieza que te ayudan a estar desinfectado todo el tiempo, se tiene que llegar temprano porque si hay una cola extensa a medida que avanza el tiempo",positivo,0.4654000103473663,9.0,positivo,,
4708,Wong,Retail,4,"Me encanta, es distinto a los demás, me parece más aestethic y más orden, tienen atención al cliente de calidad",positivo,0.489300012588501,6.0,muy positivo,,
2826,Plaza Vea,Retail,4,"Todo bien el único problema es que los baños están en un segundo piso del local, para personas que como yo, subir escaleras es problemático, por problemas de articulación, es mejor ir al baño antes de hacer las compras, en los baños del jockey del primer piso, después haz tus compras con libertad, todo bueno y muy actualizado en productos",muy positivo,0.478300005197525,6.0,positivo,,
4334,Tottus,Retail,5,"Un enorme supermercado ubicado en una de las avenidas importantes de Lima, allí uno encuentra todo lo necesario para la despensa del hogar al mismo tiempo está Sodimac donde encuentras herramientas y una cantidad de artículos para el hogar, si deseas pasar un rato entretenido un día domingo puedes visitar ambos lugares e incluso almorzar en sus alrededores.",muy positivo,0.4192999899387359,6.0,positivo,,
3644,Ripley,Retail,5,"En el corazón de Miraflores, siempre es grato, buenos y diferentes modelos de ropa👌…",positivo,0.4860999882221222,6.0,positivo,,
480,Claro,Telecomunicaciones,5,"Es medio desordenado la ubicación, pero hay muchas tiendas donde seguro entras lo q buscas",neutral,0.490200012922287,6.0,neutral,,
4358,Wong,Retail,3,"La cadena Wong, sin duda, es la que brinda por largo el mejor servicio. Sin embargo, el diferencial de precios comparado con los otros súper mercados me parece excesivo. En particular en los de primera necesidad.",neutral,0.3371999859809875,6.0,neutral,,
2645,Oechsle,Retail,1,El vendedor de ventiladores estaba cansado y no queria trabajar o tenia algo raro q no atendia y la chica era una chica q solo queria vender sus ventiladores mas caros y no te tomaba importancia a los q queriamos mas informes de cada modelo de ventilador algo elitista la palabra correcta,negativo,0.4930999875068664,4.0,negativo,,
