id_registro,empresa,rubro,estrellas,comentario_limpio,etiqueta_llm,confianza_llm,justificacion_llm,etiqueta_pipeline_anterior,etiqueta_corregida
2887,Plaza Vea,Retail,5,Si muy bueno también...si deberían tener capacitación de atención al cliente los promotores de ventas almenas yo hice mi compra ahí pero no hubo nadie quien me ayude en las tallas debería haber más ventilación o aire acondicionado gracias y éxitos,positivo,0.78,"Elogio inicial, pero menciona mejoras, tono moderadamente positivo",muy positivo,
2094,Movistar,Telecomunicaciones,5,Lugar para atención al cliente. Lugar moderno.,neutral,0.78,Comentario descriptivo sin valoración clara,neutral,
925,Entel,Telecomunicaciones,1,"No saben atender y no tienen cochera,",negativo,0.78,Queja clara de mala atención,muy negativo,
4534,Wong,Retail,4,Pequeño pero bueno Lo único malo es que no tienes para poner bicicletas Yo lo dejo en la entrada de esta tienda ya que hay rejas Ai Pero deberían tener un lugar ya que e ido y Vi como 10 bicicletas 🤷‍♂️…,positivo,0.78,"Elogio general, menciona único inconveniente",,
701,Claro,Telecomunicaciones,4,hoy sábado 8 de enero había cola...,neutral,0.78,"Solo informa presencia de cola, sin juicio.",,
2184,Movistar,Telecomunicaciones,2,"Bueno la señorita que me atendió me ayudó con mi problema y espero que me lo solucionen xq desde fines de abril y mayo estuve sin servicio telefónico como dos semanas, cómo tuve que viajar presenté el reclamó y me dijeron que me iban a descontar en el próximo recibo lo cual no ha sido así, la srta que me atendió ahora me dijo que ese descuento estaba programado para el mes de junio, pero no me hicieron ningún descuento, espero que ahora si le den pronta solución a mi reclamo, xq la verdad que Movistar deja mucho que desear.",negativo,0.8,"Agradece ayuda pero reclama falta de solución, tono negativo",negativo,
4209,Tottus,Retail,3,"Es grande, tiene acceso para personas con silla de ruedas hay variedad de productos para la cocina, en fin es un buen supermercado si recomiendo. Cuando visiten siempre estar tranquilos ya que va mucha gente y tener mucha paciencia con los demás.",positivo,0.8,Elogio general con aviso de paciencia,,
2424,Movistar,Telecomunicaciones,2,"Mala experiencia,me indicaron el servicio al cliente vía telefono q fuera a la sucursal y en la sucursal me dijeron q lo vea telefónicamente,al final lo solucioné vía cel, tuve q llamar nuevamente,pero fui en balde a su local en plaza San Miguel. Le pongo un 2 xq la atención fue con bastante cortesia",negativo,0.8,"Experiencia mala, aunque algo de cortesía.",negativo,
2034,Movistar,Telecomunicaciones,3,No está mal pero debería haber una persona para orientar para no sacar ticket en vano.,neutral,0.8,"Comentario mixto, falta de orientación pero no es malo",neutral,
956,Entel,Telecomunicaciones,4,Visita para cancelar un recibo vencido luego de hacer portabilidad a otro operador. Método de cobro simple usando tan sólo el número de DNI. Poca concurrencia en horario de medio día.,neutral,0.8,Descripción informativa sin elogios ni quejas,,
1292,Falabella,Retail,2,Lugar bien presentado pero increíblemente aburrido. Como de los 90s. Tiene los dias contados.,negativo,0.8,Elogia presentación pero critica ambiente aburrido,negativo,
4149,Tottus,Retail,5,"No encontré lo q buscaba, deben existir más cajas para personas con alguna discapacidad; sin embargo el ambiente es amplio , limpio, personal limpiando constantemente, ofertas buenas",neutral,0.8,"Elogios y quejas equilibrados, sin dominio claro",,
2968,Plaza Vea,Retail,4,"Me gustó este local. Luz tenue, para las personas sensibles, deberían bajar el volumen de los anuncios para una mejora conjunta. Pasillos amplios, muchos productos no solo alimentos, decoración, electrodomésticos, papelería. Atención rápida y amable.",positivo,0.8,"Mayoría elogios, sugerencia menor.",positivo,
4451,Wong,Retail,5,El local y el trato del personal es muy agradable. La instalación no es muy grande pero hay mucha variedad en sus productos. Tiene estacionamiento en los exteriores y cuenta con una playa de estacionamiento adicional a un costado del establecimiento. Esta bien chévere..!!,positivo,0.8,Elogio general sin exageración,muy positivo,
4706,Wong,Retail,4,"Es la tienda más antigua de la cadena. Tiene todo para todos. Un poco elevado el tono de los parlantes y la luz no es adecuada para personas sensibles o con alguna condición, deberían regularlo. Encuentras una zona con productos sin gluten de marcas reconocidas. Tener cuidado porqué están junto a algunos productos ecológicos que tiene Gluten y uno cae en el error a leer las etiquetas. Atención amable desde el ingreso. Atentos en el empaque de tus compras. Encuentras buenos productos.",positivo,0.8,"Elogia variedad, menciona pequeños inconvenientes",,
1713,Metro,Retail,4,"Ahora (2024) lo veo con pasadizos más amplios y limpios. Los precios son competitivos y tiene buen surtido. Es fresco incluso en verano. Lamentablemente, luego de la pandemia, eliminaron el patio de comidas que tenían en el segundo piso. Su bufet era bueno.",positivo,0.8,"Predominan elogios, queja menor sobre patio.",positivo,
1735,Metro,Retail,4,"Lugar concurrido los fines de semana, alto tránsito, las ofertas no están mal no obstante a ello no encontré algunos productos básicos de higiene, como hay en otros Metros, por todo lo demás si esta organizado, lo único a tener en cuenta es la seguridad al exterior, de preferencia no ir arriba de las 9pm, zona bo tan segura.",neutral,0.8,"Describe concurrencia y faltas, sin fuerte preferencia",,
842,Entel,Telecomunicaciones,4,Lugar fácil de ubicar y seguro.,positivo,0.8,Elogia ubicación y seguridad,positivo,
1462,Falabella,Retail,3,"Vasta diversidad de oferta, en todos sus pisos, el ambiente navideño ya se hace sentir aquí, lugar muy entretenido",positivo,0.8,"Destaca diversidad y ambiente festivo, sin quejas",,
817,Entel,Telecomunicaciones,2,"No tienen suficientes trabajadores atendiendo en la tarde, y si quieres hacer una queja o consulta se demoran aun mas",negativo,0.8,Queja clara de falta de personal.,negativo,
399,Claro,Telecomunicaciones,1,Espere demasiado. Mas de media hora!!,negativo,0.8,Queja por larga espera,muy negativo,
266,BCP,Banca,4,"Agencia con gran capacidad para la atencion, posee varias ventanillas pero la atencion se divide entre clientes de banca exclusiva a quien atienden primero luego clientes bcp y de ultimo a los usuarios. Existe una ventanilla exclusiva para el cambio a monedas sin embargo se acaban temprano y luego del mediodia es dificil que consigas las denominacion que necesitas. Cuenta con 4 cajeros multifuncion para deposito solo si posee tarjeta BCP o DNI Actualización 2026 ya solo tiene 2 colas la general y preferencial.",neutral,0.8,"Información equilibrada, sin clara polaridad",neutral,
3988,Tottus,Retail,5,"Es un centro comercial tranquilo con diversas tiendas, patio de comida y gym. Actualización: Ya no hay estacionamiento gratuito, las 2 primeras horas pagas 4 soles y luego 3 soles por hora o gratis por 30 soles de consumo durante las primeras 2 horas.",neutral,0.8,"Descripción equilibrada, incluye inconveniente de estacionamiento",neutral,
433,Claro,Telecomunicaciones,3,No tienen fila preferencial para adultos mayores,negativo,0.8,"Señala falta de fila preferencial, tono negativo.",neutral,
1791,Metro,Retail,5,"Bueno ...solo la otra ves quise comprar un pie de manzana que estaba con 30,%desct y no me dejaron llevar ...que esa promoción era apartir de las 4pm ...que pena NUNK habían puesto descuento y menos poniendo los descuento en la mañana cuando es para la tarde sentí que me estaban mintiendo pero bueno sigo comprando porq la siento variada y cerca a mi casa",neutral,0.8,"Queja de promoción engañosa, pero sigue comprando.",,
3948,Tottus,Retail,4,"Faltan más tirendas en le segundo piso. Felicito a las señoritas que venden Churros, muy amables y siempre sonrientes",neutral,0.8,"Elogio al personal, pero falta de tirendas",positivo,
1317,Falabella,Retail,4,"La tienda es bonita pero a mí parecer hay muy poca ropa para adolescentes o jóvenes, varias veces que he visitado más que todo hay prendas para personas mayores, después de eso es una buena experiencia de compra.",neutral,0.8,"Elogio y queja equilibrados, sin dominio claro",,
2469,Movistar,Telecomunicaciones,5,"El servicio es bueno y me alegra poder que hay personas que trabajan en este lugar que te asesoran no solamente para lucrar.En lo negativo,es un tiempo mayor a 30 minutos...",positivo,0.8,"Servicio bueno, aunque espera larga",muy positivo,
599,Claro,Telecomunicaciones,4,"Demasiada cola si es que desean solicitar lo que es atención al cliente. En este local, el servicio de caja es efectivo y muy rápido, cabe recalcar que el personal es muy amable también.",neutral,0.8,Queja de cola y elogio a rapidez y amabilidad,positivo,
206,BCP,Banca,5,Bueno,positivo,0.8,"Comentario breve, tono ligeramente positivo",neutral,
2314,Movistar,Telecomunicaciones,3,Alconteario falta de coordinación atención al público uno de ellos muy importante es el pago en caja debería aver un aviso para los pagos por diversos motivos solo pagos así no se aglomera los clientes GRACIAS,negativo,0.8,Falta de coordinación y problemas de pago señalados,negativo,
1592,Interbank,Banca,1,Siempre full.,neutral,0.8,Comentario breve sin valoración clara,,
645,Claro,Telecomunicaciones,1,"En su página dicen que la atención es hasta las 10pm, pero al llegar al local te dicen que la atención es minutos antes de las 8 pm, deberían informar su cambio de horario",negativo,0.8,"Se queja de horario incorrecto, información deficiente.",muy negativo,
325,BCP,Banca,4,Cerrado hasta 8/9/24 🔏 deberían informar de otra forma más interactiva.…,negativo,0.8,Se queja del cierre y falta de información.,neutral,
2018,Movistar,Telecomunicaciones,2,Te mandan a la oficina principal de San Isidro. Por que no tienen sistema para ver todo. Igual que los demás centros de movistar. Igual que llamar al 104.,negativo,0.8,"Critica falta de sistema y derivación, tono negativo.",negativo,
2657,Oechsle,Retail,3,El baño debe ser más amplio y limpio,negativo,0.8,"Critica baño, insatisfacción puntual",neutral,
323,BCP,Banca,4,Queda en el tercer nivel por la parte de Wong. Ahí están todos los bancos.,neutral,0.8,"Solo describe ubicación, sin valoración",neutral,
10,BBVA,Banca,1,DEMASIADO LEEENNTOSSSS,negativo,0.81,"Expresa frustración por lentitud, sin exagerar.",muy negativo,
1280,Falabella,Retail,1,"Se volvió muy contaminante visualmente, tiene muchas pantallas",negativo,0.82,Critica exceso de pantallas y contaminación visual,muy negativo,
1747,Metro,Retail,4,"Centro Comercial de paso abligatorio de cualquier persona de la zona que desee encontrar de todo como decimos en el Perú como en botica tienes comidas rápidas o zona de comidas pollito al horno a la braza se pude comer a la carta encuentras al operador de móvil de tu preferencia si buscas celulares, tienes a la mano farmacia si buscas medicinas lentes en oferta de así como a GMO es decir un Super Mercados completo con estacionamiento",neutral,0.82,Descripción informativa sin valoración clara,neutral,
3271,Plaza Vea,Retail,4,"No es tan grande como se ve desde afuera pero ordenado y limpio, la cochera en el segundo nivel, se accede por dos amplios ascensores.",positivo,0.83,"Describe orden y limpieza, sin quejas",,
1715,Metro,Retail,4,"Ordenado y bien distribuido por dentro , hay de todo a buenos precios pero afuera mucho ruido y comercio ambulatorio.",neutral,0.84,Pros y contras equilibrados,positivo,
40,BBVA,Banca,2,"Tengo una tarjeta de crédito con muy buenos beneficios (priority pass, cuotas sin intereses). Así, me hice cliente del banco y trasladé mis ahorros y mis haberes desde otra entidad. Su programa mundo sueldo tiene interesantes descuentos. Sin embargo, se han portado muy mal desde la pandemia, endureciendo algunas políticas ( la exoneración de membresía es prácticamente inaccesible y los puntos acumulados han reducido su tiempo de caducidad), y que decir de la reducción de tasas pasivas. Debido a esto, mi calificación de 2 estrellas.",negativo,0.84,"Menciona beneficios pero críticas fuertes, calificación baja.",negativo,
2939,Plaza Vea,Retail,3,"Variedad de productos de todo tipos pero un poco reducidos en cuanto a diversidad, local limpio y agradable a la vista, para una compra de comida muy urgente o diaria, sin grandes exigencias está bien.",neutral,0.84,"Pros y contras equilibrados, sin fuerte inclinación",neutral,
642,Claro,Telecomunicaciones,1,El sistema de atención y validación de datos es mucho muy lento. Se pierde demasiado tiempo,negativo,0.84,"Critica lentitud del sistema, pérdida de tiempo.",muy negativo,
1692,Metro,Retail,3,"Mayor incentivo y capacitación de atención de alta calidad para mejorar el servicio brindado por el área encargada de promociones, caja y supervisión de caja... Todo el personal debe hablar el mismo idioma. Estamos en plena campaña y el servicio debe mejorar no decaer",negativo,0.84,Critica falta de capacitación y calidad de servicio,neutral,
1663,Interbank,Banca,5,Banco Interbank en el tercer piso. Normalmente con cola afuera. En el interior hay varios asientos. Lugar amplio para esperar que te atiendan. Lugar agradable.,positivo,0.84,Describe espacio amplio y agradable,,
4279,Tottus,Retail,5,Precio y calidad fresca variedad ambiente seguro y limpio,positivo,0.84,"Elogio de precio, calidad y ambiente seguro",muy positivo,
1705,Metro,Retail,3,"Es un supermercado que ya tienes muchos años en la Av Venezuela muy grande y amplio por ser un hiper, tiene una amplio surtido de productos de muchas marcas la única observación que yo daría es que los precios no son muy cómodos no sé si es por ser el centro de Lima pero no vi unas ofertas buenas y llamativas que hay en otros locales",positivo,0.84,"Mayoría positiva, con observaciones de precios",neutral,
4097,Tottus,Retail,4,Muy buena atención faltan productos de exivicion con ofertas para que asi los clientes puedan consumir x nuestra situación economica x la pandemia y poner precios en cada producto gracias.,positivo,0.84,"Elogia atención, señala falta de productos y ofertas",neutral,
4704,Wong,Retail,4,"Me encanta los productos naturales y carnes, siempre compro esto aquí sin dudar, pero también debo decir que hace varios años atrás quitaron la sección de plantas, yo iba ahí siempre a comprar, desde maceteros hasta semillas. De verdad me decepciono que lo quitaran, ¿es posible que vuelva ahora? Era algo importante y es aún parte de los cuidados para el hogar. Espero que algún día lo reconsideren.",neutral,0.84,Elogia productos pero lamenta eliminación de sección de plantas,,
3868,Scotiabank,Banca,1,40 minutos esperando que contesten los teléfonos. Pero cuando ellos quieren ofrecerme sus productos me llaman de diferentes números constantemente. Esta es una de las razones por las que soy fiel a Interbank.,negativo,0.85,Queja de larga espera y llamadas frecuentes,muy negativo,
3573,Ripley,Retail,4,"Es una tienda por departamentos donde puedes conseguir todo tipo de ropa, zapatos, perfumes y maquillaje e incluso tecnología. El personal es atento con los clientes. Los precios no son accesibles, pero se pueden conseguir buenas ofertas.",positivo,0.85,"Variedad y atención buenas, precios altos pero ofertas",positivo,
1918,Metro,Retail,5,"Buenazo, encuentras todo lo que buscas",muy positivo,0.85,Entusiasmo y recomendación implícita.,muy positivo,
3308,Plaza Vea,Retail,5,"Buen lugar, tranquilo hay ofertas muy interesantes a veces, pero siempre he podido encontrar lo que busco, tienen un acogedor patio de comidas, muy recomendable para ir a comparación de otros supermercados por la zona, que tienen demasiada gente.",muy positivo,0.85,"Recomendación fuerte, elogios predominantes.",muy positivo,
2461,Movistar,Telecomunicaciones,4,"La atención es bastante rápida, el lugar es amplio y ventilado, está ubicado en la 3ra planta, cerca a bitel.",positivo,0.85,Resalta rapidez y comodidad del local,positivo,
87,BBVA,Banca,5,Hermosa edificación,positivo,0.85,Breve elogio sin exageración,muy positivo,
448,Claro,Telecomunicaciones,4,"Respetan los protocolos de seguridad, orden y buena atención",positivo,0.85,"Elogia seguridad, orden y buena atención",positivo,
47,BBVA,Banca,3,Falta velocidad y capacidad de ascensores,negativo,0.85,Señala deficiencia de velocidad y ascensores,negativo,
743,Claro,Telecomunicaciones,5,Quería un cel y me fui sin nada,negativo,0.85,"Insatisfacción clara, sin agresión",,
3438,Ripley,Retail,4,El restaurante sigue bien mantenido y la ubicación frente al mar es incomparable. Por mejorar la velocidad de la atención... Toma mucho más de lo que cualquiera desearía. Calidad bastante bien y volvería pero sabiendo que será velada larga Cuenta nos salió 70-80 usd por persona inc tragos.,positivo,0.85,Elogio con queja leve de rapidez,positivo,
4648,Wong,Retail,5,"Variedad de productos, precios competitivos , buena atencion",positivo,0.85,"Elogio a variedad, precios y atención",muy positivo,
1763,Metro,Retail,5,"En dicho establecimiento existe una Agencia Western Unión, donde por primera ves me enviaron un giro, para como donación para la viuda he hijos de un compañero y amigo del colegio. Fui bien atendido a pesar que mi DNI, acababa de vencer. Todo optimo.",positivo,0.85,Menciona buena atención y proceso óptimo,neutral,
2460,Movistar,Telecomunicaciones,4,"La atención es buena. Pero los empleados no corrigen errores. Hace falta ahí un gerente, alguien con cargo, que tome decisiones. Movistar esta teniendo fallas, que antes no las tenían.",negativo,0.85,"Elogio leve, quejas mayores sobre errores y falta de gestión",,
3688,Ripley,Retail,4,Los pasadizos están muy estrechos por la cantidad de anaqueles que ponen. Sus ofertas son buenas y la ropa es variada pero a veces pecan de mal gusto y exageran en el precio. Es un buen lugar como para pasar un buen rato distrayendote y comprar si lo deseas,neutral,0.85,Combina críticas de aisles y precios con elogios generales,positivo,
4256,Tottus,Retail,4,"Supermercado muy amplio y variado. Precios bajos, muy buena limpieza del local y de sus servicios higiénicos. Solo deberían ponerle mas énfasis a la atención al cliente, si bien no es mala, se siente muy fría. Estacionamiento gigante, imposible no encontrar sitio en fechas normales.",positivo,0.85,"Mayoría elogios, crítica leve a atención.",positivo,
1417,Falabella,Retail,5,Tienen gran variedad de productos y a buenos precios. Tienda por departamentos. Buena ubicación y el proceso de pago en las cajas es rapido,positivo,0.85,"Elogia variedad, precios y rapidez sin quejas",muy positivo,
3408,Ripley,Retail,3,"Aquí cambia la cosa. A diferencia de falabella , los stand están un poco más separados, pero la mercadería es.mucho de lo mismo, no hay novedad ni ofertas, buenas, antes había ofertas tanto para el que tiene trajera cono par arl que no, pero la menos que tengas una tarjeta Ripley, tu diversión de compra aquí no está asegurada, nos faltan ofertas para los lagos en efectivo, 🥺🥺",negativo,0.85,"Insatisfacción clara, predominan críticas",neutral,
1776,Metro,Retail,5,"Todo bien, tienen variedad de cosas y productos, cochera....el único inconveniente que tuve es que lleve un artefacto y no tenía movilidad como para llevarlo....los taxi asociados que hay dentro no pueden llevar grandes cosas....y por lo demás todo bien, ofertas y mucha variedad.",positivo,0.85,"Mayoría positiva, con pequeño inconveniente",neutral,
1979,Movistar,Telecomunicaciones,1,Segunda vez allí y creo que voy a ir x tercera vez por una simple migración de plan de un celular,positivo,0.85,"Planea volver, muestra satisfacción moderada",muy negativo,
2842,Plaza Vea,Retail,4,Buena atención. Sin embargo no cuentan con un dispositivo lector de precios dónde se pueda consultar un precio que no tenga su viñeta.,positivo,0.85,"Buena atención, falta lector de precios",,
1601,Interbank,Banca,2,"Buena atencion, pero sospechosa y yo sugeriria que la atencion al cliente no sea inquisitiva como lo hizo una señorita que en la ventanilla tiene un cartel de ""amo el boxeo"" respecto a informacion personal y domiciliaria me parece que trabaja con marcas.",negativo,0.85,"Buena atención pero sospecha e inquisición, quejas predominan",negativo,
4187,Tottus,Retail,5,Excelente lugar con gran variedad de productos,muy positivo,0.85,"Elogio enfático, destaca variedad",muy positivo,
3748,Ripley,Retail,5,Bueno amplio hay variedad a diferencia de otros ripley,positivo,0.85,Elogio de variedad y amplitud sin quejas,neutral,
2698,Oechsle,Retail,4,"Lo mejor de Oeschle es Sfera, la calidad de esta marca está por encima de las que ofrece Oeschle. De tanto en tanto voy de visita y encuentro buenas ofertas en esta marca, lo malo es que no hay tanta variedad en hombre como en mujeres. Sfera tiene de lejos más calidad que la ropa que encuentras en H&M, Cencosud y por encima de Aldo (Ripley) y de igual a igual que Springfield (Falabella) aunque ellos tienen más modelos.",positivo,0.85,"Elogia calidad, menciona poca variedad masculina",,
1656,Interbank,Banca,1,Siempre está lleno. Pésimo servicio,muy negativo,0.85,"Servicio pésimo, queja grave.",muy negativo,
1758,Metro,Retail,5,Lugar seguro para hacer las compras. Hay cajeros de banco. Se encuentra de todo.,muy positivo,0.85,"Elogios sin quejas, recomendación implícita.",muy positivo,
4258,Tottus,Retail,4,"Soy cliente semanal de Tottus San Miguel, me gusta este supermercado porque está muy surtido y siempre presenta buenas ofertas en productos de primera necesidad. Lo único que no me gusta tanto es que habiendo numerosas cajas, éstas no atiendan todas para evitar así las largas colas que se forman en horas puntas en fin de semana.",positivo,0.85,"Elogia surtido y ofertas, menciona colas",,
57,BBVA,Banca,4,"Está es la sede principal de la entidad financiera, su actualización del layout me encanta y la espera para el retiro en taquilla o atención con un promotor es bastante rápido, un punto a mejorar es la cantidad de personas que atienden a las empresas; ya que son solo 2 promotores y la mayoría de veces no dan una buena atención. Las señoritas que te reciben y el señor de seguridad en la puerta muy atentos, hay variedad de cajeros.",positivo,0.85,Mayoría de elogios con algunas críticas menores,positivo,
756,Claro,Telecomunicaciones,5,Buenas deseo saber si el horario de atencion es hasta las 21 hras,neutral,0.85,"Solo solicita información, sin valoración",neutral,
74,BBVA,Banca,4,Otra cosa pues así deben sus agencias grande y con poca gente,neutral,0.85,Comentario descriptivo sin valoración clara.,,
919,Entel,Telecomunicaciones,1,Muy pésima atención,muy negativo,0.85,Expresión corta de fuerte descontento,muy negativo,
