comentario,empresa,sede,rubro,estrellas,sentimiento_estrella,fecha_resena,url
Estacionamiento vigilado en el techo para motos y autos. Buena atención.,Plaza Vea,Universitaria,Retail,3,neutral,Fecha de edición: Hace 7 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
Fui a compran algunas cosas con mi hijo Saul. Gran variedad muy grande.,Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 3 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Sitio tranquilo, para comprar",Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 8 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Un lugar muy bonito, ordenado y limpio. Tiene de todo y a precio justo, si tienen la oportunidad de visitarlo, va a corroborar lo que menciono",Plaza Vea,Universitaria,Retail,5,muy positivo,Hace un año,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
No se porque cuando está más lleno siempre hay menos cajas operativas...y las cajas rápidas ninguna atendiendo Solo se me acercó un joven a decirme si quiero pagar con tarjeta..sino que valla a hacer mi cola. Salvo por el personal de seguridad Pésima cordinacion,Plaza Vea,Universitaria,Retail,2,negativo,Fecha de edición: Hace 2 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Una porquería,ayer fui x tercera vez ,de nuevo se fué el sistema se formaron colas interminables y nunca pudieron darle solución al problema,,y encima te tratan mal los supervisores",Plaza Vea,Universitaria,Retail,1,muy negativo,Hace 11 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Llevo comprando ahí desde hace 5 años y hasta el momento no le encuentro defectos. Es el sitio perfecto para hacer las compras de la semana y para alguna necesidad ocasional. Encuentro de todo, a buen precio y con buenas ofertas. La mejor opción para visitar sin tener que ir a centros de esparcimiento grandes como Megaplaza o Plaza Norte.",Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 4 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
Demasiada congestión en el área de cajas .. podrían mejorar la atención en los cobros.,Plaza Vea,Universitaria,Retail,3,neutral,Hace 7 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Menos personas de lo que usualmente había antes del inicio de la cuarentena. Al ingreso con auto no toman la temperatura al igual que al ingreso del mismo supermercado no toman temperatura y te brindan alcohol en gel. El lugar se veia limpio , el personal tenia su mascarilla, algunas adicional a ello su protector facial y todos usaban guantes plásticos. Debería haber más claridad en las ofertas que publican , puesto que nos ganamos con sorpresas al momento de pagar en caja. En general , todo lo demás bien. La visita fue rápida.",Plaza Vea,Universitaria,Retail,4,positivo,Hace 5 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
Muy bien tiene producto frescos de calidad,Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 5 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Me gusta mucho esta linea de supermercados, cuenta con grandes ofertas y productos de buena calidad. a diferencia de otros hyper mercados de la misma cadena que he visitado este no cuenta con gran variedad de marcas y productos como otros. si buscas una cava para ir a la playa en verano no vallas a este por que no cuentan con el producto.",Plaza Vea,Universitaria,Retail,4,positivo,Hace 6 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Muy buen lugar recomendable. Hay variedad de productos. Ha pasado por varios cambios estructurales, ahora está mejor ordenado y se ha ampliado. Antes si era todo un problema con las cajas pero ahora esta mejor distribuido, claro q en hora punta y dias de mucho trafico, las colas son muy largas mas aun si se va el sistema o una promocion no coincide y el personal debe rectificar precio. Como plaza norte está muy cerca hace que tenga poco público en comparación a otro supermercado",Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 7 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
Lo sentí muy vacío. Es un lugar compacto se encuentra lo básico de la cadena de mercado,Plaza Vea,Universitaria,Retail,3,neutral,Hace un año,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
Excelente atención y las verduras frescas,Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 9 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
Muy guapos los supervisores,Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 5 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Lugar bastante ordenado y tiene afluencia de gente, tiene cochera de la misma tienda en el 2 piso y fuera de la tienda hay espacio para estacionarse con luce intermitentes para los que tienen vehículos. Para las personas que compran y salen con bultos hay mototaxis y taxis esperando. Hay seguridad y bastante negocios alrededor. Supermercado rápido y con buen servicio.",Plaza Vea,Universitaria,Retail,4,positivo,Hace 5 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Un buen lugar donde comprar, tranquilo y con buenos precios. Hay unas cajas de autoservicios espectaculares para pagar con tarjeta. Aunque todavía no nos adaptamos muy bien al sistema pero hay un personal que te ayuda.. Felicitaciones.",Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 4 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"El lugar está bien ubicado para los clientes peatonales pero no lo está para los que desean ir con su propio vehículo, está muy poco iluminado en la parte exterior y deja que en la parte de espacios de estacionamiento de afuera te cobren por estacionarte, dando muy mala imagen en cuanto al cuidado de sus clientes, nadie desea que por estacionarte en un lugar adecuado, te estén cobrando. Le doy 5 estrellas por el cumplimiento de los protocolos de salubridad para combatir la pandemia, es un lugar muy surtido, con ventilación y se respeta el distanciamiento dependiendo el horario al que vayas. Otra razón por la que le doy 5 estrellas es por que nunca me ha fallado en la búsqueda de lo que deseaba comprar, eso es algo muy bueno, dado que salva de apuros ante cualquier emergencia. Lo que sí destaco en lo negativo es la falta de control en las personas que no usan mascarilla doble o la usan mal, no hay un personal que haga respetar las normas de salud y tampoco veo que toman la temperatura al entrar, eso es algo vital. Tienen mucho que mejorar, ser más estrictos en algunas normas del gobierno y velar por la salud de sus clientes.",Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 4 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
Los precios no lo actualizan y uno termina pagando precios mas elevados al cancelar en caja. Tengo que revisar mi boleta de compra todas las veces que voy a plaza vea porque casi siempre cobran de mas en algunos productos y no respetan el precio de viñeta. La verdad es incomodo estar revisando y apuntando en una hoja aparte el precio de cada producto para despues corroborar en la boleta de compra si los precios son iguales.,Plaza Vea,Universitaria,Retail,2,negativo,Hace 6 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Desagradable, no tienen aire acondicionado, cada vez que voy hace un calor horrible. Deben considerar y cuidar más a su personal y clientela",Plaza Vea,Universitaria,Retail,1,muy negativo,Hace un año,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Con su amplio estacionamiento, confortable y seguro! Limpió y ordenado, con personal atento y dedicado. Siempre encontrarás lo que buscas a buen precio. Respuesta los protocolos de bioseguridad y sigamos cuidando siempre lo más importante, la salud de todos. Ah! Recuerda siempre llevar tu bolsa reciclable. Los veo pronto.",Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 4 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Buen servicio...pero tengo una anécdota...yo estaba con mi chompa con capucha y un seguridad paso y me dijo que me saque la capucha pare para decirle y preguntarle por que motivo ,pero me ignoro le hable y no tuve respuesta...creo yo que como cliente merezco que me expliquen si esta prohibido entrar con capucha o gorro... o es que e sufrido un acto de discriminación...",Plaza Vea,Universitaria,Retail,3,neutral,Hace 6 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Estuve por allí, más menos a las 14:00 Hrs., Siempre me ha gustado hacer mis compras en dicho local. Hoy fue para mí la atencion en Caja, ""Autoservicio"" un desencanto. Me extrañó la desatención al cliente, una sola persona en Caja pero en otros menesteres... Una falta de respeto al cliente.",Plaza Vea,Universitaria,Retail,2,negativo,Fecha de edición: Hace 5 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Fácil de llegar , todo muy bien recogí mi pedido la sra que me atendió muy amable fue rápido.😀…",Plaza Vea,Universitaria,Retail,5,muy positivo,Hace un año,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
Si deseas evitar el caos de plaza norte o mega plaza este plaza vea es una buena opción. Poca gente pero le falta algunos productos,Plaza Vea,Universitaria,Retail,4,positivo,Hace un año,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Bastante variedad de productos, hasta electrodomésticos se pueden comprar. Los pasillos son amplios y el lugar se encuentra bien organizado. En la sección verduras se ve que revisan con frecuencia los no frescos, o malogrados los retiran.",Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 5 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Tiene un baño de la tienda en la segunda planta ""al fondo"" en el estacionamiento, ..si estás apurado 💦 piensalo…",Plaza Vea,Universitaria,Retail,3,neutral,Hace un año,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
