comentario,empresa,sede,rubro,estrellas,sentimiento_estrella,fecha_resena,url,comentario_limpio,texto_modelo,longitud_caracteres,cantidad_palabras,comentario_corto,sin_contenido_alfabetico,duplicado_global,duplicado_empresa_sede,estrellas_validas,sentimiento_esperado,sentimiento_consistente,requiere_revision,motivo_revision,sentimiento_modelo,polaridad_modelo,confianza_modelo,prob_neg,prob_neu,prob_pos,sentimiento_final,sentimiento_final_provisional,requiere_revision_etiqueta,confianza_etiqueta,motivo_revision_etiqueta,sentimiento_final_original,sentimiento_final_origen,sentimiento_ia,confianza_ia,justificacion_ia,usar_etiqueta_ia,sentimiento_ia_neutral,confianza_ia_neutral,justificacion_ia_neutral,usar_etiqueta_ia_neutral,regla_aplicada
Este Tottus qué se encuentra en Avenida La Marina es uno de los más grandes y completos que hay. Cuenta además siempre con muy buenas ofertas y recomiendo siempre checar en la app porque hay mejores ofertas y promociones por días. Además cuenta con un amplio estacionamiento en el primer nivel y también en el primer nivel se encuentra sodimac. Es bastante tranquilo de ir en las mañanas ya que en las tardes o los fines de semana suele estar muy abarrotado. Definitivamente se conviene tener la tarjeta falabella porque la mayoría de promociones solo se usa con esta tarjeta.,Tottus,San Miguel,Retail,5,muy positivo,Hace un año,"https://www.google.com/maps/place/Tottus/@-12.0796251,-77.0990292,15z/data=!3m1!5s0x9105c97057064a8d:0x41fd3d4df91882d3!4m8!3m7!1s0x9105c97051ad2673:0x267a96504f49c637!8m2!3d-12.0796463!4d-77.0887294!9m1!1b1!16s%2Fg%2F11b6srlhk5?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Este Tottus qué se encuentra en Avenida La Marina es uno de los más grandes y completos que hay. Cuenta además siempre con muy buenas ofertas y recomiendo siempre checar en la app porque hay mejores ofertas y promociones por días. Además cuenta con un amplio estacionamiento en el primer nivel y también en el primer nivel se encuentra sodimac. Es bastante tranquilo de ir en las mañanas ya que en las tardes o los fines de semana suele estar muy abarrotado. Definitivamente se conviene tener la tarjeta falabella porque la mayoría de promociones solo se usa con esta tarjeta.,este tottus qué se encuentra en avenida la marina es uno de los más grandes y completos que hay cuenta además siempre con muy buenas ofertas y recomiendo siempre checar en la app porque hay mejores ofertas y promociones por días además cuenta con un amplio estacionamiento en el primer nivel y también en el primer nivel se encuentra sodimac es bastante tranquilo de ir en las mañanas ya que en las tardes o los fines de semana suele estar muy abarrotado definitivamente se conviene tener la tarjeta falabella porque la mayoría de promociones solo se usa con esta tarjeta,576,100,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.929258108139038,0.0038016079925,0.0669402927160263,0.929258108139038,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
Tienda muy amplia con gran variedad de productos y con bastantes ofertas. Ubicado en el cruce de la Avenida La Marina y Parque de las Leyendas me parece una ubicación céntrica en todo el distrito de San Miguel. El estacionamiento es amplio. La atención es buena y en las cajas es rápida al momento de hacer el pago.,Metro,San Miguel,Retail,4,positivo,Hace 8 años,"https://www.google.com/maps/place/Metro+La+Marina/@-12.0891802,-77.3715373,10z/data=!4m12!1m2!2m1!1smetro+san+miguel!3m8!1s0x9105c97023499e85:0xcdd5aa58f24e5e51!8m2!3d-12.0766255!4d-77.0891354!9m1!1b1!15sChBtZXRybyBzYW4gbWlndWVsWhIiEG1ldHJvIHNhbiBtaWd1ZWySAQtzdXBlcm1hcmtldJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VObE5UVXlObk5uUlJBQuABAPoBBAgAEEE!16s%2Fg%2F12vqp1m59?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Tienda muy amplia con gran variedad de productos y con bastantes ofertas. Ubicado en el cruce de la Avenida La Marina y Parque de las Leyendas me parece una ubicación céntrica en todo el distrito de San Miguel. El estacionamiento es amplio. La atención es buena y en las cajas es rápida al momento de hacer el pago.,tienda muy amplia con gran variedad de productos y con bastantes ofertas ubicado en el cruce de la avenida la marina y parque de las leyendas me parece una ubicación céntrica en todo el distrito de san miguel el estacionamiento es amplio la atención es buena y en las cajas es rápida al momento de hacer el pago,315,58,False,False,False,False,True,positivo,True,False,,POS,positivo,0.9211031794548036,0.0036652931012213,0.0752315521240234,0.9211031794548036,positivo,positivo,False,alta,,positivo,consistencia_estrella_modelo,,,,,,,,,
"Encuentras todo lo que necesitas y más, pero sobretodo productos de muy buena calidad y variados. La atención excelente....Recomendadisimo.",Wong,San Isidro,Retail,5,muy positivo,Hace 2 años,"https://www.google.com/maps/place/Wong+Dos+de+Mayo/@-12.0919728,-77.0521564,15z/data=!4m8!3m7!1s0x9105c85a2cafbeed:0xff7fa211810ed3fb!8m2!3d-12.091994!4d-77.0418566!9m1!1b1!16s%2Fg%2F1td3skj_?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Encuentras todo lo que necesitas y más, pero sobretodo productos de muy buena calidad y variados. La atención excelente....Recomendadisimo.",encuentras todo lo que necesitas y más pero sobretodo productos de muy buena calidad y variados la atención excelente recomendadisimo,139,20,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9697494506835938,0.0027981325984001,0.0274523701518774,0.9697494506835938,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
Lamentable el servicio de atención al cliente. Fui a recoger el IPhone que compré por la web y la chica que me atendió fue de mala gana y mencionó que había sido cancelado pese a que ya había realizado el pago y no me ofrecía ninguna solución. Después de tanto insistir me mandaron a Caja solo para decirme ahí que llame al 123. Actualmente sigo esperando el retorno del dinero porque su web presenta errores al mostrar equipos pero no tenerlos en stock. Debería mejorar el personal y el trato,Entel,San Miguel,Telecomunicaciones,1,muy negativo,Hace 3 meses,"https://www.google.com/maps/place/TIENDA+PLAZA+SAN+MIGUEL+-+ENTEL/@-12.0763584,-77.0928335,15z/data=!3m1!5s0x9105c971d670aa0f:0x8193992371f626fa!4m8!3m7!1s0x9105c96d7da22637:0x682badb0e9bd7614!8m2!3d-12.0763796!4d-77.0825337!9m1!1b1!16s%2Fg%2F11b6qyzz6h?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Lamentable el servicio de atención al cliente. Fui a recoger el IPhone que compré por la web y la chica que me atendió fue de mala gana y mencionó que había sido cancelado pese a que ya había realizado el pago y no me ofrecía ninguna solución. Después de tanto insistir me mandaron a Caja solo para decirme ahí que llame al 123. Actualmente sigo esperando el retorno del dinero porque su web presenta errores al mostrar equipos pero no tenerlos en stock. Debería mejorar el personal y el trato,lamentable el servicio de atención al cliente fui a recoger el iphone que compré por la web y la chica que me atendió fue de mala gana y mencionó que había sido cancelado pese a que ya había realizado el pago y no me ofrecía ninguna solución después de tanto insistir me mandaron a caja solo para decirme ahí que llame al 123 actualmente sigo esperando el retorno del dinero porque su web presenta errores al mostrar equipos pero no tenerlos en stock debería mejorar el personal y el trato,493,90,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.969729483127594,0.969729483127594,0.0276866052299737,0.002583913737908,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
"Pésimo! Más de una hora pérdida por ""falta de sistema"". Son la principal! Y fuí el primero en entrar! Un desastre. Encima, se les vuelve a caer el sistema en media atención y al regresar por la tarde no reconocen nada de lo actuado en la mañana. No pongo cero porque no se puede.",Entel,San Isidro,Telecomunicaciones,1,muy negativo,Hace 7 años,"https://www.google.com/maps/place/TIENDA+PASEO+DE+LA+REPUBLICA+-+ENTEL/@-12.0982674,-77.0367448,15z/data=!3m1!5s0x9105c86f3dde4ac1:0x933beb97bca362e3!4m8!3m7!1s0x9105c865ea057e4f:0x4b6811f4738d98a0!8m2!3d-12.0982886!4d-77.026445!9m1!1b1!16s%2Fg%2F1vs1syvx?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Pésimo! Más de una hora pérdida por ""falta de sistema"". Son la principal! Y fuí el primero en entrar! Un desastre. Encima, se les vuelve a caer el sistema en media atención y al regresar por la tarde no reconocen nada de lo actuado en la mañana. No pongo cero porque no se puede.",pésimo más de una hora pérdida por falta de sistema son la principal y fuí el primero en entrar un desastre encima se les vuelve a caer el sistema en media atención y al regresar por la tarde no reconocen nada de lo actuado en la mañana no pongo cero porque no se puede,279,54,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.9715954065322876,0.9715954065322876,0.0251293703913688,0.003275197930634,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
El mejor banco para xunplir tus planes,BCP,La Molina,Banca,5,muy positivo,Hace 8 años,"https://www.google.com/maps/place/BCP+Sede+Central/@-12.1165405,-77.3505486,10z/data=!4m12!1m2!2m1!1sbcp+la+molina!3m8!1s0x9105c6c34f1fe2c7:0xa091f19f413baad7!8m2!3d-12.0695085!4d-76.9370266!9m1!1b1!15sCg1iY3AgbGEgbW9saW5hIgOIAQFaDyINYmNwIGxhIG1vbGluYZIBBGJhbmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXRiazFNVVhKblJSQULgAQD6AQQIABBB!16s%2Fg%2F1tvw5_7n?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",El mejor banco para xunplir tus planes,el mejor banco para xunplir tus planes,38,7,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.7260714173316956,0.0144980484619736,0.2594305872917175,0.7260714173316956,muy positivo,muy positivo,False,media,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"Es una tienda amplia donde encuentras de todo, tiene sección de ropa para hombres, mujeres y niños. Además de tecnología, electrodomésticos, decoración, maquillaje y hace poco vi que tienen sección dermocosmética, todo en un solo lugar.",Ripley,Miraflores,Retail,5,muy positivo,Hace 4 años,"https://www.google.com/maps/place/Ripley+Miraflores/@-12.1230752,-77.0404893,15z/data=!4m8!3m7!1s0x9105c8191c65706b:0xe588d29fabe35574!8m2!3d-12.1230964!4d-77.0301895!9m1!1b1!16s%2Fg%2F11r8v2c0z?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Es una tienda amplia donde encuentras de todo, tiene sección de ropa para hombres, mujeres y niños. Además de tecnología, electrodomésticos, decoración, maquillaje y hace poco vi que tienen sección dermocosmética, todo en un solo lugar.",es una tienda amplia donde encuentras de todo tiene sección de ropa para hombres mujeres y niños además de tecnología electrodomésticos decoración maquillaje y hace poco vi que tienen sección dermocosmética todo en un solo lugar,236,36,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.834246814250946,0.0061390046030282,0.159614086151123,0.834246814250946,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"Ingresé a Metro de Breña, después de muchos años con vehículo. Fui a buscar muebles para renovar mi casa. El vendedor fue muy amable. Se demoró en traer una de las cajas... Al salir revisaron lo que llevaba, pero no fui advertida sobre sellado de ticket de parque, al otro extremo de mi estacionsmiento. Debido a la demora en encontrar el producto y a otras compras que realicé, me cobraron 10 soles por 7 minutos extras, a pesar de que mi compra fue de s/71.78 +329.80 soles... No entiendo su criterio... Además hay que tener en cuenta que no hay personal de la empresa LOS PORTALES en las puertas para orientación de los usuarios... Desde que están LOS PORTALES, siento que es un abuso contra el consumidor... Muchos hacemos compras con calma para evitar olvidos de productos .... No creo volver a realizar mis compras en Metro....",Metro,Breña,Retail,1,muy negativo,Hace 2 meses,"https://www.google.com/maps/place/Metro+Bre%C3%B1a/@-12.053956,-77.0534221,15z/data=!4m8!3m7!1s0x9105c8c53e4b0cb1:0x35d73616c6af137!8m2!3d-12.0539772!4d-77.0431223!9m1!1b1!16s%2Fg%2F11h1cmj1r?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Ingresé a Metro de Breña, después de muchos años con vehículo. Fui a buscar muebles para renovar mi casa. El vendedor fue muy amable. Se demoró en traer una de las cajas... Al salir revisaron lo que llevaba, pero no fui advertida sobre sellado de ticket de parque, al otro extremo de mi estacionsmiento. Debido a la demora en encontrar el producto y a otras compras que realicé, me cobraron 10 soles por 7 minutos extras, a pesar de que mi compra fue de s/71.78 +329.80 soles... No entiendo su criterio... Además hay que tener en cuenta que no hay personal de la empresa LOS PORTALES en las puertas para orientación de los usuarios... Desde que están LOS PORTALES, siento que es un abuso contra el consumidor... Muchos hacemos compras con calma para evitar olvidos de productos .... No creo volver a realizar mis compras en Metro....",ingresé a metro de breña después de muchos años con vehículo fui a buscar muebles para renovar mi casa el vendedor fue muy amable se demoró en traer una de las cajas al salir revisaron lo que llevaba pero no fui advertida sobre sellado de ticket de parque al otro extremo de mi estacionsmiento debido a la demora en encontrar el producto y a otras compras que realicé me cobraron 10 soles por 7 minutos extras a pesar de que mi compra fue de s 71 78 329 80 soles no entiendo su criterio además hay que tener en cuenta que no hay personal de la empresa los portales en las puertas para orientación de los usuarios desde que están los portales siento que es un abuso contra el consumidor muchos hacemos compras con calma para evitar olvidos de productos no creo volver a realizar mis compras en metro,833,149,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.7563561201095581,0.7563561201095581,0.2362454235553741,0.0073984763585031,muy negativo,muy negativo,False,media,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
"Buena atención. Encuentro ofertas cuando las necesito, los colaboradores supieron orientarme en mi compra. La calidad de productos justifican el precio que estoy dispuesto a pagar. Lo mejor de todo es que puedo pagar con cualquier medio pago y con esto evito tener que pedir la tarjeta a alguien para hacer mi compra. Además, dan bolsa de papel, no ofrecen vender bolsa de plástico que igual contamina. Solo una observación, mayor celeridad en las cajas o el sistema que facilite el trabajo",Falabella,Jockey Plaza,Retail,5,muy positivo,Hace 6 años,"https://www.google.com/maps/place/Falabella+Jockey+Plaza/@-12.0865358,-76.9882888,15z/data=!4m8!3m7!1s0x9105c7b24f9a0559:0x828b01774db724c1!8m2!3d-12.086557!4d-76.977989!9m1!1b1!16s%2Fg%2F1tc_s1z8?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Buena atención. Encuentro ofertas cuando las necesito, los colaboradores supieron orientarme en mi compra. La calidad de productos justifican el precio que estoy dispuesto a pagar. Lo mejor de todo es que puedo pagar con cualquier medio pago y con esto evito tener que pedir la tarjeta a alguien para hacer mi compra. Además, dan bolsa de papel, no ofrecen vender bolsa de plástico que igual contamina. Solo una observación, mayor celeridad en las cajas o el sistema que facilite el trabajo",buena atención encuentro ofertas cuando las necesito los colaboradores supieron orientarme en mi compra la calidad de productos justifican el precio que estoy dispuesto a pagar lo mejor de todo es que puedo pagar con cualquier medio pago y con esto evito tener que pedir la tarjeta a alguien para hacer mi compra además dan bolsa de papel no ofrecen vender bolsa de plástico que igual contamina solo una observación mayor celeridad en las cajas o el sistema que facilite el trabajo,490,82,False,False,False,False,True,muy positivo,True,False,,NEU,neutral,0.6106175780296326,0.033025462180376,0.6106175780296326,0.3563569486141205,neutral,muy positivo,True,baja,sin_etiqueta_final_confiable,,regla_voto_ponderado,,,,,,,,,R1_estrellas_altas_neu_neutral
"No es la dirección correcta, es la tienda capón. Muy malo",BBVA,Miraflores,Banca,1,muy negativo,Hace 2 meses,"https://www.google.com/maps/place/BBVA+Ovalo+Miraflores/@-12.0985972,-77.1197106,12z/data=!4m12!1m2!2m1!1sbbva+miraflores!3m8!1s0x9105c8178bc3f16f:0xf0b5ec66fc926cb7!8m2!3d-12.1188312!4d-77.0318743!9m1!1b1!15sCg9iYnZhIG1pcmFmbG9yZXOSAQRiYW5r4AEA!16s%2Fg%2F11b6gnmq5p?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","No es la dirección correcta, es la tienda capón. Muy malo",no es la dirección correcta es la tienda capón muy malo,57,11,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.97536963224411,0.97536963224411,0.0219651944935321,0.0026651949156075,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
"Excelente metro, es enorme y cuenta con varias cajas de atención.",Metro,San Miguel,Retail,5,muy positivo,Fecha de edición: Hace 2 años,"https://www.google.com/maps/place/Metro+La+Marina/@-12.0891802,-77.3715373,10z/data=!4m12!1m2!2m1!1smetro+san+miguel!3m8!1s0x9105c97023499e85:0xcdd5aa58f24e5e51!8m2!3d-12.0766255!4d-77.0891354!9m1!1b1!15sChBtZXRybyBzYW4gbWlndWVsWhIiEG1ldHJvIHNhbiBtaWd1ZWySAQtzdXBlcm1hcmtldJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VObE5UVXlObk5uUlJBQuABAPoBBAgAEEE!16s%2Fg%2F12vqp1m59?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Excelente metro, es enorme y cuenta con varias cajas de atención.",excelente metro es enorme y cuenta con varias cajas de atención,65,11,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9642471671104432,0.0036515262909233,0.0321013256907463,0.9642471671104432,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
El ambiente del local es bonito. He encontrado lo que buscado. No hay letrero o aviso que te diga a que hora saldrá el pan (sería bueno). He visto pocos estacionamientos para bicicleta por eso no la llegó para hacer compras,Wong,San Isidro,Retail,3,neutral,Hace 8 años,"https://www.google.com/maps/place/Wong+Dos+de+Mayo/@-12.0919728,-77.0521564,15z/data=!4m8!3m7!1s0x9105c85a2cafbeed:0xff7fa211810ed3fb!8m2!3d-12.091994!4d-77.0418566!9m1!1b1!16s%2Fg%2F1td3skj_?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",El ambiente del local es bonito. He encontrado lo que buscado. No hay letrero o aviso que te diga a que hora saldrá el pan (sería bueno). He visto pocos estacionamientos para bicicleta por eso no la llegó para hacer compras,el ambiente del local es bonito he encontrado lo que buscado no hay letrero o aviso que te diga a que hora saldrá el pan sería bueno he visto pocos estacionamientos para bicicleta por eso no la llegó para hacer compras,223,41,False,False,False,False,True,neutral,True,False,,NEU,neutral,0.8314187526702881,0.0490549467504024,0.8314187526702881,0.1195263043045997,neutral,neutral,False,alta,,neutral,consistencia_estrella_modelo,,,,,,,,,
"Nos cerraron los locales de Falabella en Argentina luego de la pandemia, para mi fue volver el tiempo atrás y revivir todo lo que tiene esta gran tienda. Me encanta compraría todo, buenos precios cómo siempre",Falabella,Miraflores,Retail,5,muy positivo,Hace un año,"https://www.google.com/maps/place/Falabella+Miraflores/@-12.1189161,-77.0396353,15z/data=!3m1!5s0x9105c81763e2747b:0x674025098786c509!4m8!3m7!1s0x9105c8176149b98f:0xa9c9d111f1acf623!8m2!3d-12.1189373!4d-77.0293355!9m1!1b1!16s%2Fg%2F1hf33fyft?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Nos cerraron los locales de Falabella en Argentina luego de la pandemia, para mi fue volver el tiempo atrás y revivir todo lo que tiene esta gran tienda. Me encanta compraría todo, buenos precios cómo siempre",nos cerraron los locales de falabella en argentina luego de la pandemia para mi fue volver el tiempo atrás y revivir todo lo que tiene esta gran tienda me encanta compraría todo buenos precios cómo siempre,208,36,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9572833776474,0.0041115819476544,0.0386049970984458,0.9572833776474,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
Mucha ropa de muchas marcas y todo en un solo lugar. A diferencia de su competencia todo el tiempo hay muy buenas ofertas con la tarjeta oh.,Oechsle,Jockey Plaza,Retail,4,positivo,Hace 7 años,"https://www.google.com/maps/place/Oechsle+Jockey+Plaza/@-12.086616,-76.9755849,17z/data=!4m8!3m7!1s0x9105c7ad8cbc3bdd:0x1eb0fa0150c6d250!8m2!3d-12.086616!4d-76.9755849!9m1!1b1!16s%2Fg%2F11b6vd8v1c?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Mucha ropa de muchas marcas y todo en un solo lugar. A diferencia de su competencia todo el tiempo hay muy buenas ofertas con la tarjeta oh.,mucha ropa de muchas marcas y todo en un solo lugar a diferencia de su competencia todo el tiempo hay muy buenas ofertas con la tarjeta oh,140,27,False,False,False,False,True,positivo,True,False,,POS,positivo,0.9425916075706482,0.0025445518549531,0.0548638775944709,0.9425916075706482,positivo,positivo,False,alta,,positivo,consistencia_estrella_modelo,,,,,,,,,
Muy buenos precios,Tottus,Jockey Plaza,Retail,5,muy positivo,Hace 7 años,"https://www.google.com/maps/place/Tottus+Jockey+Plaza/@-12.0852978,-76.9891988,15z/data=!3m1!5s0x9105c7b3a8d76aa9:0xc6d50a7cd5ae2fea!4m8!3m7!1s0x9105c7b3024900c7:0x1999107f53756036!8m2!3d-12.085319!4d-76.978899!9m1!1b1!16s%2Fg%2F11bzrfl12g?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Muy buenos precios,muy buenos precios,18,3,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9357521533966064,0.0064234593883156,0.057824395596981,0.9357521533966064,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"Yo he realizado compras por Internet y super bueno el despacho, me siento bien comprando de esa forma. De paso que visitó el kfc que está dentro jiji",Tottus,San Miguel,Retail,5,muy positivo,Hace 8 años,"https://www.google.com/maps/place/Tottus/@-12.0796251,-77.0990292,15z/data=!3m1!5s0x9105c97057064a8d:0x41fd3d4df91882d3!4m8!3m7!1s0x9105c97051ad2673:0x267a96504f49c637!8m2!3d-12.0796463!4d-77.0887294!9m1!1b1!16s%2Fg%2F11b6srlhk5?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Yo he realizado compras por Internet y super bueno el despacho, me siento bien comprando de esa forma. De paso que visitó el kfc que está dentro jiji",yo he realizado compras por internet y super bueno el despacho me siento bien comprando de esa forma de paso que visitó el kfc que está dentro jiji,149,28,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9689574837684632,0.0025147094856947,0.0285277850925922,0.9689574837684632,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"Es lamentable como estafan a las personas con un interés tan alto , te endulzan para sacar una tarjeta de crédito y luego resulta que 30 días despues le incrementan seguros no solicitados como el seguro de respaldo de pago el cual no te devuelven al culminar el pago, (porque si no me llegue a morir devuélveme mi dinero no?) montos ilógicos y cuando vienes a ver pagas prácticamente el producto a 1.5 del precio (ejemplo compraste a 800 pagas 1200) en 6 meses, eso es usura . No recomiendo hacer tratos de negocios crediticios con ellos, aprovechen los precios para comprar en cash , no son una empresa confiable y menos cuando el gobierno respalda estas situaciones. Estos temas son mas importantes que si te trataron bonito o si la tienda abrió a tiempo o si estuvo limpio el lugar, porque refleja la realidad del comercio.",Oechsle,Jockey Plaza,Retail,1,muy negativo,Hace 2 años,"https://www.google.com/maps/place/Oechsle+Jockey+Plaza/@-12.086616,-76.9755849,17z/data=!4m8!3m7!1s0x9105c7ad8cbc3bdd:0x1eb0fa0150c6d250!8m2!3d-12.086616!4d-76.9755849!9m1!1b1!16s%2Fg%2F11b6vd8v1c?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Es lamentable como estafan a las personas con un interés tan alto , te endulzan para sacar una tarjeta de crédito y luego resulta que 30 días despues le incrementan seguros no solicitados como el seguro de respaldo de pago el cual no te devuelven al culminar el pago, (porque si no me llegue a morir devuélveme mi dinero no?) montos ilógicos y cuando vienes a ver pagas prácticamente el producto a 1.5 del precio (ejemplo compraste a 800 pagas 1200) en 6 meses, eso es usura . No recomiendo hacer tratos de negocios crediticios con ellos, aprovechen los precios para comprar en cash , no son una empresa confiable y menos cuando el gobierno respalda estas situaciones. Estos temas son mas importantes que si te trataron bonito o si la tienda abrió a tiempo o si estuvo limpio el lugar, porque refleja la realidad del comercio.",es lamentable como estafan a las personas con un interés tan alto te endulzan para sacar una tarjeta de crédito y luego resulta que 30 días despues le incrementan seguros no solicitados como el seguro de respaldo de pago el cual no te devuelven al culminar el pago porque si no me llegue a morir devuélveme mi dinero no montos ilógicos y cuando vienes a ver pagas prácticamente el producto a 1 5 del precio ejemplo compraste a 800 pagas 1200 en 6 meses eso es usura no recomiendo hacer tratos de negocios crediticios con ellos aprovechen los precios para comprar en cash no son una empresa confiable y menos cuando el gobierno respalda estas situaciones estos temas son mas importantes que si te trataron bonito o si la tienda abrió a tiempo o si estuvo limpio el lugar porque refleja la realidad del comercio,826,145,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.9676958322525024,0.9676958322525024,0.0283353403210639,0.0039687464013695,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
"Bastante ordenado, si en este momento vas a ir, hoy 22 de diciembre 2021, puedes aprovechar la oferta de pollos la florecía, 9 soles el kilo",Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 4 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D","Bastante ordenado, si en este momento vas a ir, hoy 22 de diciembre 2021, puedes aprovechar la oferta de pollos la florecía, 9 soles el kilo",bastante ordenado si en este momento vas a ir hoy 22 de diciembre 2021 puedes aprovechar la oferta de pollos la florecía 9 soles el kilo,140,26,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.5665888786315918,0.0097140418365597,0.4236970841884613,0.5665888786315918,muy positivo,muy positivo,True,baja,baja_confianza_modelo,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"Cadena de tiendas Plaza Vea, excelente para sus compras de víveres y en general, buenos precios y ofertas permanentes. Estacionamiento de fácil acceso y grato ambiente.",Plaza Vea,Jockey Plaza,Retail,5,muy positivo,Hace 6 años,"https://www.google.com/maps/place/Plaza+Vea/@-12.0849708,-76.978382,17z/data=!4m8!3m7!1s0x9105c7b29d8327ab:0x53a1dec5abe39636!8m2!3d-12.0849761!4d-76.9758071!9m1!1b1!16s%2Fg%2F1tcw4phd?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Cadena de tiendas Plaza Vea, excelente para sus compras de víveres y en general, buenos precios y ofertas permanentes. Estacionamiento de fácil acceso y grato ambiente.",cadena de tiendas plaza vea excelente para sus compras de víveres y en general buenos precios y ofertas permanentes estacionamiento de fácil acceso y grato ambiente,168,26,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9245051145553588,0.0036296618636697,0.0718652978539466,0.9245051145553588,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
